date,AdrActCnt,BlkCnt,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2018-11-10,483,1384,750560082.7348569344262085383,0.0000313468073444779,0.00004083191555982619064550456485,0,0,0.915076,1.19196527902244764644,106607.333292,6.75306485671066,138865.23061826323954911948,106607.333292,138865.23061826323954911948,354.41807637,166.99307750603742,0.000204096230075235,1.30258610106969,,2.7492262918398875,576207655.001457,29192,494,1625785.17693,2117725.1747941448189102517,3721.36359783401,4847.396499565276960228062157,147.84009,192.5744464148920658721,1838353.61733,2394613.8707852455939217277,,0.0315454865465412,0.0489216086355815
2018-11-11,4044,1366,750522052.900466858982519783,0.000078798304702356,0.000102578645239557230231941986,0,0,2.444875,3.1827076258477426875,107624.338232,6.81365258092632,140104.014322942140082092,107624.338232,140104.014322942140082092,177.16836039,167.08342874739253,0.000204385389024219,1.3017874639185,,3.5561230098068837,576531940.660518,31027,4216,3254147.294686,4236208.153966535611787091,774.500756146584,1008.235375147022185997029404,2.6174055,3.40730566789133345175,3265295.187914,4250720.341619847952281009,,0.0313557933219522,0.0481203735965088
2018-11-12,1640,1375,724915126.3382544289473373124,0.0000505109397239416,0.00006348167688921037217009346479,0,0,1.525986,1.91784494049993495882,112173.833312,7.09839570323207,140979.02515088753240037344,112173.833312,140979.02515088753240037344,128.53176476,166.4912013982135,0.00019770495337133,1.25679065240437,,1.6800169004368304,576798629.868401,30211,1834,4487595.972332,5639968.66979435742379589084,2510.65435327972,3155.366922620290938013160376,7.073868,8.89037117874239600316,4604540.083915,5786942.93608560543631270855,,0.0319735073232953,0.0429419987651017
2018-11-13,540,1393,722090532.3331255115714652057,0.0000627287755580096,0.00007840947638048190151922934285,0,0,1.874524,2.34311038267793956712,108833.666646,6.87648053373178,136039.49285426719936691748,108833.666646,136039.49285426719936691748,204.00790572,167.26850579071427,0.000198770128441564,1.24997619805238,,-0.4086832871332202,577683425.859015,29883,657,2831671.762043,3539522.30325079281940981234,4437.16281006545,5546.347899465025910150328271,178.985,223.7269898084052343,2915215.966213,3643950.56994852121048423694,,0.0224901177651147,0.0424476323670884
2018-11-14,12836,1359,646478110.7940614143467045806,0.0000742559484311309,0.00008294202467370526189052250328,0,0,2.349978,2.62486625484875087844,103750.08325,6.54290895084775,115886.230620317985869085,103750.08325,115886.230620317985869085,61.80801614,163.66816529505195,0.000196784535397281,1.11697482055098,,-20.928265761643512,578775903.359368,31647,14744,9364091.25411497,10459454.14818806987424766617,645.521711871948,721.031498279930533156565909,0.000001,0.00000111697482055098,9517572.11984,10630888.4106392943153894432,,0.0294573001276508,0.0445241164252848
2018-11-15,7121,1330,645606792.6238501901035937244,0.0000503568362309508,0.00005581402292458665981006474672,0,0,1.407675,1.56022519683389697,98666.333254,6.18270680121812,109358.8358265231847731336,98666.333254,109358.8358265231847731336,226.64445996,164.71036505812873,0.000198522956882077,1.1083703247084,,-23.569224489174157,582482928.522741,27954,13264,2570029.413585,2848544.335645345288123614,198.360942688179,219.8573824567612810003020036,0.000001,0.0000011083703247084,2631059.543816,2916188.3209064746972232544,,0.0288687424428417,0.0420295505971459
2018-11-16,2600,1341,650498764.1195031783114347798,0.0000359744454857857,0.0000401590976159043566627612459,0,0,1.151542,1.28549271468509816988,100649.999942,6.30449064752605,112357.90067448391230774588,100649.999942,112357.90067448391230774588,264.63923099,165.19530196802796,0.000201550621873564,1.11632290848714,,-19.92201527890914,582715591.675056,32010,6540,2201924.44446399,2458058.700112971291959108089,357.461101439144,399.0420164295618160658166082,0.000001,0.00000111632290848714,2337795.603412,2609734.78744933231234212168,,0.0284873896986312,0.0413521206449848
2018-11-17,4520,1384,631772922.4968648912879430255,0.0000516195046243507,0.00005593055313528576300513655347,0,0,1.629731,1.76583942358724178411,106268.616652,6.65230519030046,115143.73401142964319487212,106268.616652,115143.73401142964319487212,139.81932118,164.95710244171056,0.000196246613676213,1.08351588304281,,-19.445791331116528,583076752.620066,31572,5621,4170215.873467,4518495.13461873971790412227,760.55226492955,824.0704589353505435042840355,1.29627,1.4045291337119033187,4275064.281169,4632100.04967560480910384489,,0.0285237620095017,0.0413785067790466
2018-11-18,955,1400,628977184.4743709906711452156,0.0000358891155141155,0.00003868767453926064926319675774,0,0,1.108543,1.19498489116868340444,109608.833276,6.85667236143269,118155.90347279918241303408,109608.833276,118155.90347279918241303408,246.08287538,171.25368835036798,0.000193605783038361,1.07797793244708,,-17.536273065051986,583478720.242957,30888,1004,2371065.923817,2555956.74225197535966410436,2415.08766629382,2603.411209189855581826881046,6.9351575,7.4759467430448602151,2424748.016959,2613824.85402662009221002972,,0.0284084410950275,0.0378169271129729
2018-11-19,16373,1382,481478822.1577095486305471638,0.0000412377588636057,0.00003400932431627988852659472908,0,0,2.136652,1.762125120799408104208,119122.339555,7.44752274447186,98241.76654797434735861722,119122.339555,98241.76654797434735861722,75.04614556,170.17085971675962,0.000170467324068502,0.824713205893804,,-37.348673318594614,583813644.206042,51813,20137,7779395.46148901,6415770.170960310290437773094,391.871148511,323.181311185793787778725844,0.000001,8.24713205893804E-7,7891109.317566,6507902.063348323731507761064,,0.0557363648756075,0.0507346441532396
