date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2015-05-23,2797,630,10800910,17144.3015873016,1152908.701834832545658462341,141.646802935896,0.015100112643343051,0.001153513156992576089222428477,0.001,0.00007639102993719105,15.5380159099999,1.186965038545353196506611781,31500,76.1817362732233,2406.317443021518075,31500,2406.317443021518075,11.88389555,91.15182910826523,0.00031967685324552433,0.07639102993719105,-92.82903432872709,758.5782510052823,15092199.99760126,1029,2064,1269970.77159208,97014.37523204820034801162688,1738.73474485682,132.8237379471915786716252355,13.84652384,1.057750217187469576459632,3588748.51338448,274148.1951230036872746598649,0.11783452266924271,0.17550987200800103,0.13591770137492531
2015-05-24,2126,607,3747743,6174.20593080725,1153117.132906040109982501756,171.247142620668,0.006511567146814405,0.000496516767360716630084441716,0.001,0.00007625150077790767,4.70135148000006,0.3584851060344419507478982745,30350,73.2531881313479,2314.2330486094977845,30350,2314.2330486094977845,22.96506508,87.74116500307548,0.00031677513930939257,0.07625150077790767,-92.6662211964614,767.4266689501778,15122549.99760126,722,1654,658502.37926842,50211.79468503997917615290678,453.217645941415,34.55852568206328882967109915,6.78425128,0.5173093417544411059193176,749621.9863871,57159.80147813264846116067906,0.1177896751675191,0.17429892510999298,0.13599791899346636
2015-05-25,1649,561,752762,1341.82174688057,961027.227801820305502926862,174.398186570283,0.0017656487769784172,0.0001119979769566813716669886295,0.001,0.00006343162831531268,1.22712589999999,0.07783859398489292191012884687,28050,67.5765316332092,1779.257174244520674,28050,1779.257174244520674,38.78138368,86.07079923399543,0.00026764,0.06343162831531268,-94.3185571191815,664.7224466515328,15150599.99760126,695,1589,390666.82417185,24780.63278599240058851480406,350.287797885456,22.21932539885961592492946438,5.93678854,0.3765801640558878251406872,556607.31083999,35306.50805878795609227029807,0.11857598784377768,0.1772751543542998,0.13892020299822957
2015-05-26,2127,556,3177336,5714.63309352518,1339312.021071098087273737092,170.701739226569,0.0049519773058252425,0.0004369526916414874176267144491,0.001,0.00008823802385513349,4.08042929999997,0.360049017912583000866541346,27800,66.8515785695699,2453.017063172711022,27800,2453.017063172711022,9.08462038,78.44269192111622,0.00037263267329083,0.08823802385513349,-91.10357211847344,1098.9402067482229,15178399.99760126,824,1808,1670779.77557045,147426.3056934599457253256494,2365.00515639257,208.6833814072813019430841942,6.46035111,0.5700486153567181213196739,4275929.32275776,377299.5535843640150716597334,0.12109587104261522,0.18223071268507401,0.14382457404647905
2015-05-27,2343,625,3439362,5502.9792,2241624.233860895471488469509,184.194601635225,0.006179038959587275,0.0009106773315602875884192935706,0.001,0.00014738171057285512,7.18622231000004,1.059117736604620239010150114,31250,74.9935074232405,4605.6784554017225,31250,4605.6784554017225,10.43562734,72.80392547028642,0.0006213300000000003,0.14738171057285512,-84.5950386316696,1965.3694644976956,15209649.99760126,1163,2501,1457473.47056265,214804.9332060791590074833333,2158.64939482816,318.1454403368327350658129762,10.03329778,1.4787245895032298037576336,5398782.13646523,795681.7462824189415819457075,0.1269513928691578,0.19835814538302643,0.15612201783122406
2015-05-28,1942,505,2078702,4116.24158415842,2058028.509805180598449352299,197.477998625548,0.0043342938205980066,0.0005855043521170201979200239579,0.001,0.00013508644691656774,3.91386731999995,0.5287104299616624898299109716,25250,60.4943255384092,3410.932784643335435,25250,3410.932784643335435,9.1970296,67.2353984928112,0.0005700887258912917,0.13508644691656774,-86.77063732875308,1718.0354362313262,15234899.99760126,903,2049,1656502.22433435,223770.9997947185572832081839,1025.41870107734,138.520168930339933133833089,4.5785706,0.618502834310657707272444,2101082.91850746,283827.8261382652180561467853,0.12711693174853034,0.20121590969521808,0.15535925242655885
2015-05-29,1672,645,1006246,1560.07131782946,2255447.130143212688491469624,196.378360973651,0.0031483240606767797,0.000465108318745145132751423337,0.001,0.0001477320344987495,2.69811371999996,0.39859782916458343951176005,32250,77.101816657657,4764.358112584671375,32250,4764.358112584671375,15.99623475,64.83686284671025,0.0006242729890266079,0.1477320344987495,-84.63102202434143,1804.3638048826424,15267149.99760126,857,1982,954421.47719923,140998.6265959441056761973629,540.579833349354,79.86095858969502059910963282,6.357058505,0.9391411863712289208394975,1071429.22969842,158284.4199247755857837521258,0.12727141951625953,0.19850394317865763,0.15275099915925203
2015-05-30,1508,612,773408,1263.7385620915,2035697.68710306802539112137,248.408587262734,0.001437908496732026,0.0001913449364463546292315194273,0.001,0.00013307170580132846,1.09999999999999,0.1463788763814599752829419867,30600,73.0107368845179,4071.994197520650876,30600,4071.994197520650876,65.34829402,64.72585925009628,0.0005716414318066353,0.13307170580132846,-86.88077107820781,1745.825400159491,15297749.99760126,765,1783,234095.62908047,31151.50468237321504513424118,159.443697181211,21.21744476317421405368115157,4.765205425,0.6341140143984943497988955,284288.1120741,37830.70401273972838514595889,0.12753955572383102,0.200947399236479,0.1537500488582585
2015-05-31,1486,561,586671,1045.75935828877,1505419.303848839153339996991,253.054642152211,0.0011108211936339523,0.0001091134993463764335656045904,0.001,0.00009822777956677381,0.837559180000001,0.08227157850716792577685536677,28050,66.8040167665143,2755.2892168480053705,28050,2755.2892168480053705,82.44725324,64.62406541606165,0.0004281,0.09822777956677381,-90.060961835677,1293.1554869440213,15325799.99760126,754,1810,185886.11985207,18259.18080535202902720435029,128.268082568641,12.59948894000521033716224609,5.25249645,0.5159410634658619749779745,232165.22944924,22805.0749814094100824299564,0.1296136331655926,0.21372866463972315,0.16026488015164747
2015-06-01,1481,573,683926,1193.58813263525,1598997.869488399471031340218,249.486021804974,0.0016116155273698265,0.000167832113498129957335205782,0.001,0.00010413905217954417,1.20710002999999,0.1257062530100982916028033046,28650,68.1056631897181,2983.5838449439404705,28650,2983.5838449439404705,11.28295092,61.066180354347566,0.0004664000000000001,0.10413905217954417,-88.44193543189591,1393.1739351579333,15354449.99760126,749,1704,1360854.09750499,141718.0558688186432971125004,1022.15260462391,106.4460034283863449438580831,5.632116485,0.58652327251268589964264245,1741748.03827915,181383.9898419710982477582151,0.12828228289039573,0.21289916727052274,0.16024771506211372
2015-06-02,1458,620,1217673,1963.98870967742,1577707.949600104050409173934,268.508660976735,0.0035787107223796038,0.0003669805145054400586162982889,0.001,0.00010254545364913499,2.52656976999997,0.259088243240837576019642826,31000,73.5435102760343,3178.90906312318469,31000,3178.90906312318469,30.66844044,60.10686273002222,0.00045510868591338297,0.10254545364913499,-89.34921261374026,1389.1952844061152,15385449.99760126,706,1694,501670.43964583,51444.02281584263273378146059,654.475121710773,67.11344825790405385214041425,5.080199335,0.52095134543560889952323165,1108680.85617805,113690.181348889522394979925,0.12792127972576675,0.2091482632164822,0.1602958242961018
2015-06-03,1168,609,716568,1176.63054187192,1698196.015676688452722875972,290.679227657448,0.0016453074912280703,0.0001812449890438622866722934402,0.001,0.00011015873325209236,0.937825270000001,0.1033096437550016057406704521,30450,72.0960177591279,3354.333427526212362,30450,3354.333427526212362,111.10069789,60.05214645260575,0.000489131187963014,0.11015873325209236,-87.39763306292842,1744.3626080580425,15415899.99760126,570,1318,138756.10406078,15285.19665433103352882761364,133.540420013308,14.71064350661837205531004513,3.26867343,0.3600729244635717890379948,176006.27357754,19388.62814172302053778770159,0.12780464482599163,0.2081139000293767,0.16031891978988194
2015-06-04,1309,584,543216,930.164383561644,1667244.62536979084782421401,311.674342665749,0.001425,0.00015382377527636177175,0.001,0.00010794650896586791,0.8949,0.096601330873555192659,29200,69.0057040851485,3152.038061803342972,29200,3152.038061803342972,92.33655863,59.98142558659828,0.00048289555270922946,0.10794650896586791,-87.76279794858829,1732.6261216734722,15445099.99760126,628,1484,167269.60834844,18056.17027730209226954629456,145.491668064427,15.70531765117574702671785184,2.293029965,0.24752457967587627986192315,215909.63540761,23306.6913943448444258902688,0.1278176199895689,0.2092655932351981,0.16038626224037345
2015-06-05,1679,631,1338685,2121.529318542,2930810.459315493571275173816,335.106035140474,0.0017840379879275653,0.0003378429566892495498493592716,0,0,1.77333375999998,0.3358158989491102825379674843,31550,74.4072522269667,5974.617892485478259,31550,5974.617892485478259,12.26599534,57.1476380492406,0.0008426508211572181,0.18936982226578378,-76.78757746621548,2740.0152213696247,15476649.99760126,994,1867,1261752.47659855,238937.8422368799216128241615,2919.41955305567,552.849961881406148207786523,11.60857295,2.198313396300885299056751,5450556.30555494,1032170.878832586057013906951,0.13443569982493928,0.22369125158465303,0.1740827102681472
2015-06-06,1002,579,847671,1464.02590673575,2617046.450762591663212763518,368.858739164365,0.0024237121287128713,0.0004090758967791979855662544157,0,0,0.9791797,0.165266662298795985291107,28950,68.1479594574521,4886.2020664339178745,28950,4886.2020664339178745,73.92130559,56.93745929198549,0.0007496018077147866,0.16878072768338231,-78.87619820130561,2621.8985934629823,15505599.99760126,404,1075,209758.19992618,35403.14162109704993985471788,239.477389431656,40.41916805199162807648666441,10.297200765,1.73796903821858100031946715,257438.19363903,43450.60565589096642607762756,0.13465468662965382,0.22768818053302778,0.1752675188275301
2015-06-07,1360,587,726423,1237.51788756388,2589342.510379681338053413108,367.484485325529,0.001423121327014218,0.0002372037599113514236293031057,0.001,0.0001666785223498949,0.9008358,0.15014998002388545215742,29350,68.9590246615158,4892.014630969415315,29350,4892.014630969415315,19.47916816,55.46648785908556,0.0007460600000000001,0.1666785223498949,-79.52228991698227,2414.8849643958097,15534949.99760126,633,1591,797516.08845005,132928.8031731224168427213997,1825.20809679987,304.2229885556662659011208337,10.32263177,1.720561010185680150900973,2903906.0820086,484018.7747920661674629908961,0.1346416523418174,0.2274610287394883,0.17508146876948902
2015-06-08,2295,595,2429016,4082.37983193277,3788175.848575666406013250276,426.346083537815,0.004669854162561576,0.00113656085614966046030214033,0.001,0.00024338251615254247,5.68788237000003,1.384331122790293847264738476,29750,69.7652380172666,7240.6298555381384825,29750,7240.6298555381384825,10.53235604,52.60604741277795,0.0010638543112350865,0.24338251615254247,-67.2595487980845,3660.1850252386726,15564699.99760126,1218,2674,1477798.50439733,359670.3183666862731053545796,2432.32985628795,591.9865605363132956151089242,21.0075788,5.112877386616808758871636,6504050.03571397,1582972.062874099732399917197,0.13736462032378247,0.23071187299859414,0.179859225061654
2015-06-09,1681,610,2184216,3580.68196721311,4338484.669601636797495410943,435.595746334194,0.006070115816686251,0.001688667309008566302950554295,0.001,0.00027819358971151065,5.16566856000003,1.437055879966298380617855345,30500,71.3841438501098,8484.904486201074825,30500,8484.904486201074825,26.97736319,51.82691625715196,0.001212856727060199,0.27819358971151065,-60.55686837698452,4376.016754586333,15595199.99760126,851,1937,578084.66637325,160819.4484955554278205142501,977.102071275751,271.8235327227535092100949232,11.79891738,3.282383180651732194340097,1892646.71206113,526522.182883973634414547446,0.1376663642140594,0.22983742192505938,0.18003023982508856
2015-06-10,2266,584,3570904,6114.56164383562,6555130.337669151059676475185,462.773333180635,0.013929663456014362,0.005844113023735923695692953683,0.001,0.00041954445218219766,15.5176450899997,6.510341908441693440772834741,29200,68.2138194211379,12250.698003720171672,29200,12250.698003720171672,21.5473877,50.702255519045764,0.0018353700000000004,0.41954445218219766,-46.81849692028525,6502.92786646078,15624399.99760126,1114,2505,725118.06150761,304219.2598826273453101426142,577.199163441669,242.1607068261577915034176383,12.422095185,5.2116211193459402950042671,1445883.90442138,606612.57059952491320099909,0.14089078745936126,0.23563487677262368,0.18548202180336465
2015-06-11,2743,620,4936104,7961.45806451613,4848489.444665050816713080352,488.790556453448,0.016607691495132127,0.005143414855368714238377239622,0.001,0.00030970077068666035,23.8818603700005,7.39623056202036635070067283,31000,72.2753810297642,9600.72389128647085,31000,9600.72389128647085,7.80145392,47.7414844158652,0.001348962537697253,0.30970077068666035,-63.710053041946715,4234.550099704346,15655399.99760126,1438,3320,2006728.51023483,621485.36617862063301192695,2011.84334741572,623.0694351954790511860498907,10.442808245,3.23414576160951101449458575,6679319.91342018,2068590.524848987229049670496,0.1428499517832939,0.249217035471557,0.19101301899379122
2015-06-12,2039,524,1406239,2683.66221374046,3253506.907980564176954575049,482.664298339355,0.020657640116504856,0.004285900343836453943760779735,0.001,0.0002074728923374042,21.27736932,4.414477354151547213519144,26200,60.9822977340501,5435.78977923999004,26200,5435.78977923999004,29.76045558,47.3058003980637,0.0009027970596142607,0.2074728923374042,-72.61908424936786,2270.4794609379733,15681599.99760126,1030,2455,526927.41738407,109323.1553365516013509782311,258.788256168167,53.6915480101626903707794521,7.67579957,1.592520337790103453276194,635325.16889285,131812.75036494940797235694,0.14561475296714838,0.2640380237301956,0.19979098203992657
