date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2019-05-27,11320,4320,5548282,1284.32453703704,2851791994.338552728198813,0.193384405244928,0.01772574910771267932985553695,0.172433,0.0158053287286482737842,781.659766,71.6474778933747437118284,0,0,0,0,0,38.50428709,46.29673904548798,0.0000103961566335476,0.0916606956246674,-52.189414999083375,32.64743780536979,31112484745,4042,9798,808026510.816045,74064272.06457152149380570843,224060.597285759,20537.55020929113429144713156,69683.874639,6387.2724232328588976700686,2195345732.205867,201226916.9506345629357002036,0.0551244573716138,0.0706683727927581,0.0598544206225054
2019-05-28,11118,4319,5299907,1227.11437832832,2891622020.77576190310884,0.194519018896072,0.0180787707285247342592187175,0.172433,0.016026076476857327656,782.355494,72.712815870126333972208,0,0,0,0,0,40.91833793,46.56578778756453,0.0000106594275122646,0.092940889950632,-46.34740619794899,39.085081428535034,31112484745,4022,9696,760355535.505576,70668120.14877760132580072403,176836.985358933,16435.38679544611417717019566,50076.599269,4654.163701762027857288008,1714611410.040217,159357510.3686457676822645671,0.0547923557892725,0.0697727960014336,0.0598616006287901
2019-05-29,10626,4320,5269168,1219.71481481481,2834349971.2074877298056175,0.190408234457323,0.01734620613798816080677771988,0.172433,0.0157086607704569155495,722.789658,65.846198499803230783887,0,0,0,0,0,43.19459081,46.3566785791001,0.0000105251233196961,0.0911000839193015,-54.743372177078655,42.95087300508536,31112484745,3796,9245,720286595.165644,65618169.26553811451412127767,178987.779916352,16305.80177090913481598826813,49658.019194,4523.849715839684634072991,1654742025.326675,150747137.3720550206098753175,0.054661235861452,0.0688700798649631,0.0597822176081897
2019-05-30,10956,4320,5404970,1251.15046296296,2611540776.202962502757362,0.19078459462079,0.0160142062714427362636807066,0.172433,0.0144737977166987417108,787.368022,66.0906292822441448604472,0,0,0,0,0,30.89920986,45.9340950179889,0.0000101477891956372,0.0839386759883476,-59.980064356928864,21.79494024738307,31112484745,4127,10392,1006902276.248426,84518043.91794629744021884088,222340.956304956,18663.00549022105311900813071,62426.794295,5240.022459319231442156942,2310567217.921099,193945953.054376869074820186,0.0550395488545908,0.0708415062819099,0.060682670936611
2019-05-31,9700,4320,5059265,1171.12615740741,2776944178.7130206657828825,0.191906261175833,0.01712858934921464157593017025,0.172257,0.0153747949517096276145,708.32601,63.221623287951277490985,0,0,0,0,0,49.89359717,45.74837620253399,0.0000104315873597332,0.0892549791979985,-59.78799745838975,31.150534164559247,31112484745,3691,9359,623576701.430684,55657325.51455222189385928597,185177.190966006,16527.98632761466128935673899,56500.65069,5042.964402009329595643965,1733073330.250846,154685424.0401452442419061317,0.054864711683173,0.0714397080622537,0.0572229276197001
2019-06-01,7998,4320,4757875,1101.3599537,2827996951.1162585759714965,0.188973755277045,0.01717693743025001971678075061,0.172433,0.0156734507792791145981,572.968426,52.0804742885180197870882,0,0,0,0,0,56.96890807,45.64699306416173,0.0000106251240051864,0.0908958887178157,-58.722598235570075,35.16250855797571,31112484745,3032,7531,546130965.076847,49641059.4269783772934484831,185392.50032296,16851.41607847338338255575847,73912.782054,6718.3680124045493410394478,1396190919.932211,126908014.4869829811731519915,0.0548000480189519,0.0714322314560688,0.0567254271122262
2019-06-02,9813,4320,5116510,1184.37731481,2990692553.5666345018599015,0.189925321122995,0.01825660175558867865927321968,0.172433,0.0165751496004198518751,710.320701,68.2796905659015332229747,0,0,0,0,0,34.48995671,45.6021420334823,0.0000109928260152418,0.0961251593396847,-57.66659763284818,40.13224168703391,31112484745,3740,8814,902073754.688543,86711983.40558384409258832239,220080.16540659,21155.24096721262835989790217,81311.89236,7816.118609316291002738892,1939786577.893723,186462293.8850158302528129291,0.0545041609668232,0.0713877735554595,0.0570115929553761
2019-06-03,12136,4319,5714717,1323.15744385,2751727037.142339082756013,0.19128228650647,0.01691785930375908070656392128,0.172433,0.0152507442618133762642,827.869736,73.2204950666691102579664,0,0,0,0,0,26.62503435,45.28557598021626,0.0000108210108714442,0.0884444640052274,-60.8955059316431,33.571290625451574,31112484745,4328,10741,1168542520.548452,103351116.897225262341642978,216134.59283866,19115.90821660334414884481128,71897.065968,6358.8974630882358746411232,2321501661.680059,205323970.1545375755296423404,0.0543606303166914,0.0734731400981108,0.0578850290750802
2019-06-04,11136,4320,5325696,1232.8,2536209104.0506826016622005,0.192216175975516,0.01566896438682084362007655879,0.172433,0.0140562911648852735517,753.679626,61.4380093607246716310274,0,0,0,0,0,47.14570458,45.23866800232788,0.0000106559547964581,0.0815174077171149,-61.473648762802036,24.566806499756343,31112484745,3921,9898,659921938.201248,53795125.6978198358449301394,180228.25210546,14691.73990902375472800173735,69927.991718,5700.3486117152400140543982,1783899239.339832,145418841.6195162210848836907,0.0546195776484546,0.0754228896864787,0.0588333708028418
2019-06-05,9157,4316,4930220,1142.31232623,2573014825.9803071211667095,0.190218427659574,0.01573113939803223628374863748,0.172433,0.0142602774778238721423,625.818627,51.7554486195261847321437,0,0,0,0,0,52.63864454,45.25907807477446,0.000010604593832039,0.0827003965472031,-62.110657084810164,24.641718962924088,31112484745,3290,7992,591057862.897303,48880719.64394936028876718324,173735.3882483,14367.98550241669935597332973,58784.76244,4861.523164721130479931564,1388493222.880393,114828940.1353125576247699788,0.0545574141900528,0.0749547289097767,0.0588699094558093
