date,AdrActCnt,BlkCnt,PriceBTC,PriceUSD,ROI1yr,ROI30d,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2018-08-27,4633,171721,0.000780400708092327,5.33819593178784,,-35.67392854458462,5774012,99871,12549470.972,66991534.88881999014258048,126.38203685,674.652074963730881261904,1,5.33819593178784,12621900.4021,67378177.377921521867890464,,0.0689315689900656,0.0597099873860045
2018-08-28,4317,171719,0.000836858427858504,5.93696306905757,,-28.96882676050278,5647034,91755,14865307.0709,88254779.090133660320171713,164.37718789,975.9012938984672291168273,1,5.93696306905757,15082428.8747,89543823.220781423884616479,,0.0714977806381602,0.0612000441965966
2018-08-29,7007,172065,0.000874086641058505,6.15011719432302,,-20.652199738364015,5336604,112168,19222159.8070001,118218535.5410561786305765723,172.70804518,1062.1747182594349776740436,1,6.15011719432302,19372316.0115,119142013.79618529724903473,,0.0713113719777667,0.0614183866647922
2018-08-30,18456,171296,0.000868650038221555,6.05443730414816,,-17.18995451245578,4498186,98005,15239731.3245998,92267997.83685228058399190637,156.54488135,947.791169418887570020816,1,6.05443730414816,15342181.0965,92888273.55764632138725744,,0.0713287259201948,0.0600423745206602
2018-08-31,16175,171207,0.000915296224408838,6.43095309799106,,-11.076706087765634,3452908,163421,20078160.4378999,129121708.0700738997645753749,123.55814626,794.5966434727795036524356,1,6.43095309799106,20191995.8199,129853778.072608438607570094,,0.072246073464912,0.0606575953928005
2018-09-01,4854,170918,0.000924462656341321,6.65325443816648,,-5.425586343544684,4347626,129679,10751389.1879,71531727.830850782172201592,83.64243788,556.4944210441741044982624,1.5,9.97988165724972,10846667.7015,72165640.02432188749594572,,0.0724458430608598,0.0608401407462207
2018-09-02,4101,171124,0.00090521540457144,6.59661687174557,,-8.138300364004705,4210544,135551,13195939.8989,87048559.775624271252322873,98.46982313,649.5676966171601722610341,1,6.59661687174557,13347682.9956,88049550.847486410778629492,,0.0722595142077651,0.0608418058776752
2018-09-03,4382,171106,0.00089100390414962,6.47006151374635,,-7.115578334726566,4380459,128047,25898142.059,167562572.21347155359273465,204.15457038,1320.892628671058548543113,1,6.47006151374635,26141380.2731,169136338.421192358367128185,,0.0722912768479331,0.0608084260746562
2018-09-04,25923,170554,0.000879084226247318,6.46849438359172,,-8.085586004156099,4775080,146022,25625855.2339992,165760700.6558583068855556066,189.30374179,1224.5101905615121756619788,1,6.46849438359172,27642510.9833,178805427.043848483402938276,,0.07228721067433,0.0607210655030226
2018-09-05,58163,171167,0.000777587624644546,5.2972449805143,,-24.87393538674342,5048300,186328,21686567.4966984,114879060.8164701676375839871,116.90045371,619.250341635141779143053,1,5.2972449805143,21781827.7385,115383677.65419627173591055,,0.0801396415486933,0.0657934543225877
2018-09-06,69932,171340,0.000800647981861429,5.19933787012613,,-20.83032333769938,904322,210209,24322346.5225992,126460097.3652806089585994371,116.36353225,605.0133199290682398226925,1,5.19933787012613,24460661.7509,127179244.969800099849641017,,0.0740152835624782,0.0642687765108045
2018-09-07,54314,168905,0.000785864867441298,5.0365600847533,,-9.27840026397488,5077672,194340,26044049.793499,131172421.6352644888033587967,134.21904315,676.002275343070829804895,1,5.0365600847533,26084128.846,131374282.1913257573236918,,0.0735927769051386,0.0636644556793747
2018-09-08,33265,172404,0.000765108953481754,4.73371004540371,,-18.63143180536176,3157711,180191,8724344.75270001,41298518.39542118342871297104,48.63110286,230.2055401274430912356106,1,4.73371004540371,8762887.0552,41480966.479938374617054792,,0.0718315748437802,0.0640805952079408
2018-09-09,16822,158111,0.000790334517601245,4.94123784941977,,-5.496871875900254,5914093,117674,11757183.0818995,58095038.04683958895646445312,100.35769307,495.8912314779361552499939,1,4.94123784941977,11809491.1746,58353504.774322257545761842,,0.0720305922521237,0.0640609415223762
2018-09-10,6520,161229,0.000796511503741812,5.0161205145362,,-0.45115863307994475,4810318,125228,19204749.4016,96333337.44989257105153792,153.6372637,770.66303024277784259594,1,5.0161205145362,19239687.2583,96508589.94961936707410046,,0.0720728648269827,0.0640656193912572
2018-09-11,7148,170573,0.000789959079568454,4.96275160676361,,-0.692513872628709,1208067,162234,8791962.93409996,43632328.17781067947064383046,54.29794734,269.4672254055508836082974,1,4.96275160676361,8808973.1882,43716745.843677110265441402,,0.0702984220339172,0.0640026091536607
2018-09-12,5762,170838,0.000779020996531062,4.92999328814727,,7.251944124037325,734139,153581,7333519.95470002,36154204.15516517013719443195,48.19197091,237.5860931288884836359157,1,4.92999328814727,7401371.0837,36488709.765728286125096499,,0.0701566002085701,0.0634318579869083
2018-09-13,10251,172615,0.000839169164156388,5.44725215270676,,21.20797716148871,622998,178340,23875537.7646,130056074.485248894489708696,134.10488181,730.5031061280081213880356,1,5.44725215270676,23916264.6225,130277923.9496176518045981,,0.0723120478481357,0.0637269817839365
2018-09-14,47347,172475,0.000809642823423336,5.25821316346053,,13.93826978891328,617577,170183,15290559.4735001,80401021.10023433685614730105,90.81228691,477.5103624341163788206623,0.25,1.3145532908651325,15454707.4238,81264146.013256335889282614,,0.072464122973433,0.0625322969523895
2018-09-15,7803,172449,0.00082779583455295,5.39945696480792,,20.19115201691897,803841,203919,8051041.8733,43471254.116749888411476536,40.1347346,216.705772266687409178032,2,10.79891392961584,8184234.9445,44190424.37270488559436044,,0.0622763129797573,0.0626700205991282
2018-09-16,25881,172588,0.000832987455850507,5.41244358462583,,-1.355181385928614,714053,199716,8590652.17290007,46496420.24096493039401693081,43.98480416,238.0652710968155194274528,1,5.41244358462583,8784469.1478,47545443.683353642041967674,,0.0606433202985698,0.0626345671380285
2018-09-17,39668,172564,0.000777055477495901,4.86388406990591,,-4.523375176512065,824651,217615,14690826.5112997,71454477.04206202595933081123,70.7715124,344.224431765508576398284,1,4.86388406990591,15400942.6701,74908399.714633580611170291,,0.063506264547902,0.0635217628194889
2018-09-18,45050,172575,0.00080104515195792,5.07982350116653,,-3.889643683791808,966723,249498,13936180.2594987,70793335.99869456683756301851,59.12763022,300.3579255598403244805366,0.5,2.539911750583265,14752225.4846,74938701.711178881694550438,,0.0604949830848939,0.0637405064884563
2018-09-19,19222,172690,0.000817507316766998,5.2197064575559,,10.391295847070852,991483,280378,9934934.84089993,51857443.54444246258990428109,40.022665,208.9065629490965044735,0.5,2.60985322877795,11221474.7666,58572804.30252260575895294,,0.0603288482311062,0.0638562392629382
2018-09-20,25517,172793,0.000883581983467443,5.74405105293432,,17.108051193457545,970800,295499,14176565.6723995,81430916.97753888417831030084,48.42087686,278.1319887116860503878352,0.43,2.4699419527617576,14308320.6924,82187724.538902138594123168,,0.0621756309273163,0.0652066646076638
2018-09-21,97594,172684,0.000912571469716332,6.15662051931782,,30.657075403080334,1107356,406024,24060255.5941973,148129863.2912664649473464859,59.4459862,365.986378430003961134084,0.125,0.7695775649147275,24136497.0994,148599253.306621084096731308,,0.0629963507223134,0.0649914229666266
2018-09-22,93543,172794,0.000885256069033618,5.93940139438179,,21.290257929409577,1129405,372707,11893716.0911982,70641553.93644372207674936078,32.2579062,191.592653064116988808098,0.15,0.8909102091572685,12022747.4466,71407922.948636145308037414,,0.0633415369347643,0.0651063929928444
2018-09-23,16627,172655,0.000901474551527706,6.04424383728013,,19.639481133666234,1152990,308525,7527255.55019991,45496567.97092846023273217079,24.75627004,149.6329326233127174063052,0.25,1.5110609593200325,7637928.2143,46165500.538870803099771859,,0.0633610067661217,0.0650872710842042
2018-09-24,36773,172793,0.000859719649532619,5.65497661221997,,12.174656856162581,1052415,446689,6102292.6480002,34508322.20536300088510300399,14.12237584,79.8617050841803530935248,0.1,0.565497661221997,6308309.9415,35673345.181817227135831755,,0.0646075440947148,0.0655100085956787
2018-09-25,87588,172733,0.000838178120270861,5.38069092248223,,9.046876299641667,1197181,344632,17123914.6169989,92138491.93704675345974117955,50.75627964,273.1038531179176288107972,0.2,1.076138184496446,17492238.1659,94120327.113155341970541957,,0.0637506690344556,0.0657376436966683
2018-09-26,20347,172760,0.000859249865845254,5.55517654603099,,4.0646805965115655,1130722,281724,8552759.15179997,47512087.04393109703361790107,30.59641446,169.9684840008354380441154,0.4,2.222070618412396,8619744.2663,47884201.180934864074612637,,0.0607578972360642,0.0659105816987137
2018-09-27,17113,172521,0.000871027007597896,5.82088896259252,,-1.955109120856886,903256,302107,10219740.8076999,59487976.46809671334188214475,34.06420453,198.2839521681711203281156,0.6627,3.857503115510063004,10291034.6382,59902969.939155687392226264,,0.0610472263052398,0.0656392022462792
2018-09-28,19688,172690,0.000867227376868699,5.74678679917346,,-6.558092836374913,909954,311722,16430029.0555,94419874.08618379118446703,52.97915567,304.4599124357117646725182,0.8,4.597429439338768,16514768.3631,94906852.820470570437163326,,0.0610264234148997,0.0652654291115151
2018-09-29,13534,172772,0.000873181764711717,5.75325470237103,,-4.974576275994745,1131483,344546,11458282.9268,65922420.129709788527930604,37.90934528,218.1021189959670109392384,0.8,4.602603761896824,13061513.2805,75146212.701118283183463915,,0.0598527546081284,0.0652625548754613
2018-09-30,26250,172793,0.000863781785494692,5.70892299409869,,-11.227419837938525,1288261,352063,18891761.5647998,107851611.9963154271754312923,54.68411077,312.1873773866928202718913,0.3,1.712676898229607,19252252.0902,109909624.645927346817581838,,0.0594109242982634,0.0651890708725813
2018-10-01,36941,172788,0.000867858788097476,5.70342510402341,,-14.276161282730488,1416553,372501,10511451.8107,59951278.136878708899688487,29.7872105,169.889124144529710597805,0.25,1.4258562760058525,11095765.6974,63283868.626912979404576134,,0.0594127087887755,0.0651120994502133
2018-10-02,75942,172793,0.000861758144360023,5.62453465692205,,-14.73607204606824,1883906,507579,8129876.5583003,45726772.45865819448577759162,16.14519004,90.809180922572698716382,0.125,0.70306683211525625,8194959.4165,46092833.250173950553983825,,0.0593743295498207,0.065031495101939
2018-10-03,99740,172800,0.000862784592410109,5.5914872808429,,-13.579070786836004,1377687,406989,10162693.9893001,56824574.18027010001630905429,25.1640883,140.70467966345763402807,0.125,0.6989359101053625,10241507.1351,57265256.88257345789217579,,0.0593680103496256,0.0650060452858278
2018-10-04,72552,172773,0.000879694368790181,5.76412899862131,,-10.889170542640278,1472286,384249,9149087.90460033,52736522.90184223955937657103,24.11065321,138.9769153434629735259051,0.25,1.4410322496553275,9264494.3847,53401740.740413560536757957,,0.0463664373595446,0.0651556241996536
2018-10-05,135788,172729,0.000877029131759672,5.78634884842298,,9.233174408731875,1461415,461107,9338451.92519966,54035540.54343241320631263219,20.70663376,119.8158064118924004278048,0.1,0.578634884842298,9547973.7724,55247907.042699556141449752,,0.0461805174231513,0.064541324058445
2018-10-06,210673,172799,0.000870131648158971,5.70377139896532,,9.701880151653866,1668270,643956,6556329.84889985,37395806.6743375825262303032,10.42242067,59.4471049255309677811644,0.1,0.570377139896532,6711580.324,38281319.89388959567036368,,0.0458139449045866,0.0607201476743081
2018-10-07,50542,172685,0.0008711395147726,5.72777489590649,,13.72394649367211,2118262,558342,5698225.95860002,32638155.59687188875170923213,10.52851367,60.3049562902343070067183,0.1,0.572777489590649,5878511.3778,33670789.895063512109861922,,0.0440058095810028,0.0604121900679359
2018-10-08,19101,172690,0.00088922549094097,5.88925451204012,,24.410968469824386,1876713,506034,30352957.9962999,178756294.833473426054960352,60.38276077,355.6094463141616506020924,0.25,1.47231362801003,30555729.9654,179950470.567411449771011848,,0.0436483516454898,0.0588427193071771
2018-10-09,96135,172785,0.000890552688486265,5.88808188042952,,19.162081645613032,2210216,509186,11003635.0187002,64790303.9724683900856081099,22.49122185,132.430155843705507609012,0.16,0.9420931008687232,11452215.2883,67431581.329817161514630616,,0.0436280025973318,0.0586169168218212
2018-10-10,83511,172292,0.000893304502628212,5.8566450627035,,16.756466391338602,2020740,538658,17614592.7514989,103162417.6695988917841112762,38.11564199,223.229786472507707519965,0.25,1.464161265675875,20531295.4813,120244510.31146232471169455,,0.0435682851039582,0.0586087897432736
2018-10-11,52655,172779,0.00081924484349391,5.08253791251652,,2.4137074599836255,1978872,536901,23489554.8865994,119386553.2592791361464791221,45.34249541,230.4549519694312896491732,0.25,1.27063447812913,24344431.1298,123731494.175855878544764296,,0.05144937498212,0.060543035272335
2018-10-12,56901,172669,0.000826655423728813,5.14222338279664,,4.304875934813448,2330505,644305,13627608.6799996,70076208.00589639704948208134,21.62388642,111.1948543758627253176288,0.25,1.28555584569916,13932378.1414,71643400.656671871937364896,,0.0478897917128061,0.0604705430490706
2018-10-13,21361,172722,0.000836603763880771,5.20453457822267,,-4.455780046155606,2503599,686745,13840552.4306,72033633.706761521096521702,20.49053944,106.6437210419153847371048,0.25,1.3011336445556675,14071775.5052,73237042.193800181057342884,,0.0475186237353422,0.0603997595046619
2018-10-14,13648,172732,0.000820873850106569,5.1311339671544,,-2.4167752876434645,1986076,537772,9968593.68580003,51150189.66596941036770653463,19.0613427,97.80630298754056221288,0.25,1.2827834917886,10250656.3866,52597491.17091144498829104,,0.0472975777469018,0.0603172811291002
2018-10-15,18317,172762,0.000829768462908816,5.50630072985848,,1.9787872326224036,1177049,445012,26521177.4757996,146033578.8917016177773328406,60.36146831,332.3683970106825113047688,1,5.50630072985848,26861577.7334,147907925.078570714901169232,,0.0491684203691664,0.055134485320619
2018-10-16,8000,172731,0.000824929002403272,5.37900492821533,,-0.6178107150249795,1814330,579306,22892821.8692,123140601.655182482750694836,39.67591787,213.4169577541966787549471,1,5.37900492821533,22984497.2792,123633724.137368643696730136,,0.0449122128778888,0.0543452819791332
2018-10-17,20643,172785,0.00082731951124488,5.33892671009485,,9.766734432018028,2593686,773841,15914035.4444999,84963868.90003668496423981552,20.84765888,111.304122837378085244768,0.5,2.669463355047425,16132773.1988,86131693.73897565348590618,,0.0442848149538602,0.054146371407236
2018-10-18,45919,172727,0.000824540222092344,5.36757990603838,,5.6646929722217765,3525586,1086290,10158087.9399999,54524348.71051426429714659616,9.56030947,51.3157250066804344974586,0.25,1.341894976509595,10385268.5734,55743758.913393712708247092,,0.0440215921100889,0.0520942122530206
2018-10-19,45509,172588,0.000826499053185272,5.32192054368073,,1.9582343749784574,4329377,1294152,14556406.4084998,77468038.30756091796584946885,11.44343914,60.9010738495261453457722,0.4142,2.204339489192558366,14809549.6512,78815246.531381069335661376,,0.0400879394927359,0.0519100085926226
2018-10-20,129272,172103,0.000828352290991413,5.35429646494593,,-6.785360791479826,3739962,1421382,18216458.2384955,97536317.95021161867145204832,13.15751308,70.4492257717238354677644,0.25,1.3385741162364825,18701852.2527,100135261.404572687554196511,,0.0376787864801058,0.0516208431907168
2018-10-21,99424,172568,0.000835953550555231,5.39010411889566,,-12.450278493160935,3708061,1368152,23236734.992299,125248420.9916777522504845223,17.23922339,92.9212090010014028414874,0.4,2.156041647558264,23585877.9549,127130337.912476835727285734,,0.0372506441286422,0.0514007859723536
2018-10-22,30217,172574,0.000830777767387493,5.34889225091438,,-9.942233303611793,3535491,1099893,19187783.1546998,102633384.6283992364575444031,17.70629439,94.7090608550797589643282,0.5,2.67444612545719,19475029.2559,104169833.073214354026009842,,0.0370402743166218,0.0512641224522712
2018-10-23,35834,172537,0.000837051326709527,5.37238463522915,,-11.1156865960145,3611763,1155189,13246764.2548002,71166712.74899131550391446583,11.6671118,62.68021217182071166897,0.4,2.14895385409166,13477719.2173,72407491.640955165544144295,,0.0350650040437667,0.0512643328661212
2018-10-24,36189,172644,0.000827954605493863,5.35482286402267,,-5.3077805405718435,4709812,1150403,14372919.2014,76964436.362407174887895738,12.64932325,67.7348853535135481580775,0.5,2.677411432011335,14551819.4181,77922415.333170945184608327,,0.0338357745269912,0.0511812405772456
2018-10-25,36789,172693,0.000831229405181395,5.3541352413528,,-0.4935366389188305,3771304,1229700,12131524.7122999,64953823.99346728266927530472,10.37413032,55.544496744698600296896,0.4,2.14165409654112,12757068.0552,68303067.65068234691307456,,0.0332692309234897,0.0501472045000688
2018-10-26,29090,172668,0.000833321900834908,5.35659871953713,,-3.5746447452824404,4684851,1251458,14088358.425,75465682.69973513753582025,11.7635281,63.012499557699047748353,0.5,2.678299359768565,14721561.3463,78857496.657177887635638119,,0.0319694904765393,0.0481331197611254
2018-10-27,19060,172509,0.000833033018669794,5.35941193297444,,-7.927947648266892,4521588,1266822,13116717.0235,70297889.73719487813837934,10.45987193,56.0587624390263863634692,0.5,2.67970596648722,13250795.8835,71016473.57943848746271774,,0.0319171932415429,0.047884319340893
2018-10-28,22375,172549,0.000837594461338575,5.38109772657647,,-6.363365918665822,4113607,1283398,19617410.1329,105563201.067466396204712863,15.44600358,83.1164547490300167637626,0.4125,2.219702812212793875,19823370.1006,106671491.781422629397492882,,0.0319332854565202,0.0478583602580645
2018-10-29,29679,172691,0.000811816376819236,5.10154561866944,,-11.32765916713209,4019134,1284099,17636975.3621999,89975834.38561175947150930106,14.14838568,72.1786349770494455496192,0.5,2.55077280933472,18167927.8979,92684512.967834034054170176,,0.033304184118622,0.0475933522003833
2018-10-30,33093,172455,0.000811959502398054,5.1057072830836,,-10.566191059830963,3836278,1228691,17275456.0679997,88203421.86497683965909987492,14.38959705,73.46907045882328546338,1,5.1057072830836,17680368.3847,90270785.62936381456706092,,0.0333113831629188,0.0473330373364906
2018-10-31,37856,172573,0.000824347257977729,5.20651014213343,,-8.712571004736033,4486620,1358359,31997767.7710999,166596702.4258618259988836597,24.12150945,125.5888835949923749059135,0.6,3.123906085280058,32765669.4534,170594790.322918619657967162,,0.0335278896745327,0.0474327286489138
