date,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-06-28,710,74613568,105089.532394366,693612368.2592092711014009336,11552070733.0704,0.0315825064129656,1.490097082034439875163466784,0.01487356,0.7017507751178843646104,87.136135193372,4111.177849333015350405455866,5073.58263029174,12.5967568040531,239377.1594313575960139202546,5073.58263029174,239377.1594313575960139202546,0.018469524045576193,47.18109014371034,3093.294683866857,14.300994787014524,14701067.019573179241,2759,11184,0.06885455382716799,0.06828647745956805,0.09097242910798009
2017-06-29,736,73900395,100408.145380435,659749157.1105394055987655654,11206874702.1766,0.024359264312989,1.092795757280440483319411622,0.01485328,0.6663420190831996734896,77.82784948,3491.4824445110138491386236,5252.97779032444,13.0375028818369,235657.0284141948479829016822,5252.97779032444,235657.0284141948479829016822,0.01782478092319424,44.86160761011707,2809.556594919874,13.478727270275234,14706319.997363503682,3195,11055,0.06898120398467768,0.06815067321818317,0.09083517591426443
2017-06-30,692,53984621,78012.4580924856,640215561.1464987465006396181,11626062351.2962,0.0222180688726433,0.9669029166950387176018908356,0.01483248,0.6454912106010859152168,57.744761,2512.980680490408381785135,4932.99948442048,12.2392349054106,214678.0450129114142636758488,4932.99948442048,214678.0450129114142636758488,0.01779323204939818,43.518764940258535,2624.960401714784,3.3346254585188313,14711252.996847924166,2599,8056,0.06818032494605222,0.06799208296736615,0.09099656684600572
2017-07-01,764,66223433,86679.8861256544,601012563.753719739986121493,12197951932.8901,0.0290213928652536,1.18520002996351806890338642,0.01481532,0.605040488216610972396,76.67451995,3131.298479163614280647735,5437.25685285387,13.4853606149154,222051.2645565414173674312447,5437.25685285387,222051.2645565414173674312447,0.017079734705612366,40.8388403501653,2346.113048639141,-6.90443498674431,14716690.253700778041,2642,9902,0.06835511039740046,0.0690008007257775,0.09072930500877746
2017-07-02,713,49158413,68945.8807854137,630295850.6683855674310901453,11845090026.6606,0.0228289083370875,0.9773945092421054663049424429,0.0147914,0.633277462528376834506,56.341745775932,2412.20964880951843153540212,5068.52854642907,12.5665210713649,217003.4544826888382158436292,5068.52854642907,217003.4544826888382158436292,0.01711494561780748,42.81389608342529,2353.874469455441,-2.3064112617533046,14721758.782247207115,2468,7409,0.06761683902024616,0.0693483832370162,0.09086037685488518
2017-07-03,692,82970791,119899.98699422,643532710.8846380942781278411,12287588975.7876,0.0302503901377019,1.321895431922700456820225128,0.01476956,0.6454070115008258737176,93.352703964948,4079.369302913450839264916752,4909.53093264287,12.1682566097512,214538.9359674829294878127014,4909.53093264287,214538.9359674829294878127014,0.017150732517915244,43.69845895888746,2456.862850287913,3.0006666581085297,14726668.313179849989,3086,12484,0.06686697599518958,0.06939431084147213,0.09048320581170585
2017-07-04,763,57871753,75847.6448230668,670162952.6376125763689522278,12379958360.3237,0.0245933797589915,1.118754088271475424745070142,0.0147524,0.6710874216376068240216,66.32834521,3017.27977606816578603863814,5409.24292418938,13.4018685403341,246066.734023326356460147705,5409.24292418938,246066.734023326356460147705,0.017530546130296722,45.490050543478134,2571.6882819580187,5.5900519878982795,14732077.556104039372,2697,8740,0.0660228831100807,0.06613118671528119,0.09055759375769068
2017-07-05,733,81861667,111680.309686221,677649755.4642602766387130478,12922481380.3261,0.0301698752317199,1.387273100994316246400821953,0.01473316,0.67746109003316070459184,87.88484655,4041.1265431964400667978722,5185.46623001514,12.8429218579269,238438.4344238575549798613676,5185.46623001514,238438.4344238575549798613676,0.017666346323597835,45.982062913398124,2555.736224375717,-5.124133003451286,14737263.022334054509,2913,12361,0.06575952970674882,0.06109862731960204,0.09017587178915902
2017-07-06,736,102215855,138880.237771739,739791643.9714777656776218483,13762331464.8397,0.0324736460226945,1.629560177488799429954147928,0.01471288,0.7383070976205103957232,110.63771199932,5551.911524704331553621553785,5200.80854961872,12.8763763125817,260981.7972789102739409519951,5200.80854961872,260981.7972789102739409519951,0.019285637285026407,50.18100450900914,2466.2060512870557,-9.126433706593538,14742463.830883673225,3407,15306,0.06598776535510145,0.06313750121072652,0.09062123318228003
2017-07-07,675,55799539,82665.9837037037,650949583.0593039220450153456,12974174393.96,0.0238523412126797,1.052853480315743295838173261,0.01469156,0.6484923194476554575072,64.71140171,2856.3914920966104095427752,4765.34931124209,11.7944359401376,210344.7440452661487692531091,4765.34931124209,210344.7440452661487692531091,0.017736833938356938,44.14046700606712,2227.552357887536,-16.811221660072466,14747229.180194915313,2713,8358,0.06676152611528685,0.06626536786943459,0.09190317855891557
