date,AdrActCnt,BlkCnt,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2019-07-04,7241,237969,6221650004.5511847376208,0.0351660349378279,1.161645183681985181298165682,0.00005,0.00165165789338452,5185.93517228,171307.815237533451969702112,0,0,97.6036321,,0.00295545559575382,33.0331578676904,,13.643509359216555,188345602,168387,49240,1929698.700187,63744041.8003541374037381048,38.88529418,1284.504061379522721161872,1.7425,57.560277584450522,1914711.88527246,63248979.97734828057303492638,,0.041335698161654,0.0521542853621613
2019-07-05,7359,237921,6151843345.5585210029394,0.0267246292436292,0.8728939291873613507365539632,0.0000504,0.00164619137013960888,3226.94553191,105400.196161524045004582527,0,0,177.04172291,,0.0029697528601159,32.6625271853097,,5.467499698594678,188345602,138856,41601,1063848.673079043,34747986.20549989357533653462,25.19725888,823.006153163286243875136,2,65.3250543706194,1048231.16669471,34237878.97865486916301670169,,0.0413997951826768,0.0517010702191094
2019-07-06,7040,239350,6128149994.8692186016654,0.0624684078128257,2.032517717178530500889392168,0.00033022,0.010744278973425210994,6197.61567593,201650.147756844453824366111,0,0,137.17995885,,0.00290293317942724,32.5367299782727,,4.331820641792813,188345602,121083,42800,1372981.91064458,44672341.69169563555625201697,31.4405337,1022.97215536968309213999,1.5826995,51.49586626824721315365,1345654.84247317,43783208.25350461807523269346,,0.0413567538300475,0.0515800903517977
2019-07-07,6865,238847,6235278489.033717208815,0.0901914232225871,2.985833675665723304805439043,0.00023503,0.007780789610779414725,9211.97158511,304967.079965191954247612325,0,0,30.70132778,,0.00288975089200662,33.1055167884075,,4.8308725891122135,188345602,124062,41924,6134770.56571917,203094749.9564441587339565218,145.70677795,4823.698183608488736614625,1.7505,57.95120713810732875,6108610.95869878,202228722.6470524948907883928,,0.0414402168597219,0.049790426414428
2019-07-08,8986,234577,6310798661.9661641161702,0.0377128081876484,1.263623556495883144909898127,0.000457865,0.0153414457182872671115,4275.42563862,143254.475352914950045972962,0,0,129.31931337,,0.00271976529432679,33.5064827368051,,5.107925690915861,188345602,134788,46465,1456438.30832319,48800125.03505258932547884027,31.01516804,1039.209192511369269229004,1.6584984,55.57044800861887946184,1441119.78291999,48286855.12807695814152152395,,0.0400920449918445,0.0495898274931825
2019-07-09,6842,231174,6139600128.7402418845502,0.0926090470899657,3.018825560025896090633876468,0.0002,0.00651950463779902,9345.0863328,304626.66843660918037616928,0,0,196.68726364,,0.00259140188509846,32.5975231889951,,7.915448894353072,188345602,121260,37965,957589.213041779,31215036.57766095999116932628,24.81218546,808.815790901997052231246,1.1268531,36.73262005784101431981,941994.621139109,30706691.50649075944865501937,,0.0389966190341472,0.0482869282150683
2019-07-10,5503,233751,5874041829.466719877581104,0.12769685311183523,3.982554669209571538748664956,0.00028079,0.00875715805297094367208,10164.41411399,317003.3865595606962921016785,0,0,203.74996088,,0.0025760411455289303,31.187570971084952,,-2.7188093448525907,188345602,100358,32191,924395.77013168,28829658.68635250128492550648,28.22665644,880.32085099893211415789088,1.175649,36.665636624585052733848,908644.29755606,28338408.51750125425150024241,,0.03987459562663364,0.0484256998409023
2019-07-11,6775,228541,5511897980.668559863374532,0.03510372123079287,1.027303680634705093997358852,0.00037427,0.01095293988985642414982,3184.15324168,93183.63495928745319267478288,0,0,263.13999808,,0.0025910263630461393,29.264808533562466,,-8.691315438573287,188345602,109761,35897,715761.96463356,20946636.85060764267536705996,19.69075509,576.24617759012056322245194,1.224263,35.827822289724785312558,706839.03528833,20685509.03176098082414237582,,0.037856570033377744,0.04692470650065618
2019-07-12,17233,226802,5996774402.56735536199777,0.02199523777694484,0.7033315065043574607663686927,0.000355795,0.01137709152746775614555,2192.1333778,70096.831264204538455940162,0,0,112.85848925,,0.0027068195616866578,31.97653572272729,,-8.4479777125381,187536713,124190,48946,1661697.88598731,53135341.81165363770918753069,33.83147701,1081.8134331628920461346029,0.478511295,15.30113351829599646974055,1655915.47361073,52950440.29573038693229940782,,0.04173365030073747,0.04820775496365408
2019-07-13,6237,234777,5890828167.2805588895417,0.03241941125506209,1.018345570490894415576138101,0.00040230500000000005,0.01263704363762526614507998753,3200.50911792,100533.111409931727537166128,0,0,153.17512566,,0.002768313261250731,31.4115997505009,,-10.29994812220792,187536713,122061,35986,1224328.76871891,38458125.24602198745652380202,33.81998706,1062.339897095839666518354,1.30026405,40.843373908565289762645,1217046.05442031,38229363.53937711435958163328,,0.03975515746070286,0.045115915771768926
2019-07-14,7421,234936,5408445361.197006106516174,0.0017582786181516705,0.05070769175758287037300397672,0.00019796,0.00570904665318816443608,175.36367626,5057.38234513500588519083948,0,0,180.8383764,,0.0028045495032144947,28.839395095919198,,-11.568491305505695,187536713,126419,36655,1037040.45971926,29907619.54829741743752272435,28.14510138,811.68769871252065199829324,1,28.839395095919198,1031658.69114441,29752412.59805251629625150938,,0.04264488132835927,0.04641380785231385
2019-07-15,6978,233744,5307866240.397062014338666,0.0675461546174913,1.911764091561219786213081815,0.00018712,0.00529607197980002051184,7259.92824445,205478.3163253014043212727749,0,0,129.58599076,,0.0025903435008278837,28.303078130611482,,-13.98793320069725,187536713,132535,39830,1447198.9749421,40960185.65832710464986854519,36.04224665,1020.1065229377199495660353,1.071676965,30.33175687117158662391213,1435562.68400948,40630842.80691063484181588485,,0.04265838248080134,0.046315903650089606
2019-07-16,8742,233157,4702726532.20808390418011,0.04676170584609087,1.172610478534522470544417093,0.000333795,0.00837034294622833325865,5309.23055836,133135.8485120164809025734292,0,0,157.05918406,,0.0026476533845078286,25.07629816572547,,-22.441906925171363,187536713,140488,41967,1194051.2369357,29942384.84255292248385024228,28.24593626,708.3035196258365422785422,1.324392,33.21084868030148666424,1185397.20701605,29725373.80795266985232218379,,0.046670874401168704,0.046270114240443375
2019-07-17,8510,232609,5176979040.457943456838828,0.02640146767007997,0.7288164678738504880603499731,0.00026309,0.00726263883996985883004,3207.56711017,88545.37031483720847380843052,0,0,124.18313679,,0.002853280112849887,27.605149720513356,,-18.462430448773965,187536713,145253,50206,1510162.47338456,41688261.18008154490301000418,29.91342148,825.76447860822021999728688,1.020725,28.1772664484709953031,1501833.23884503,41458331.41356054813205212922,,0.05053753450932175,0.04794727960374435
2019-07-18,9820,232610,5470282794.188763505549686,0.06700992602921982,1.954621255399218557988044527,0.00027329,0.00797163158567169287238,10232.95178406,298486.3026692092513881272893,0,0,10.10730827,48.96868926421615,0.002731219918176505,29.169130175534022,,-14.99616864227412,187536713,182165,61672,18554565.46722765,541220535.4640315653692785941,300.57232682,8767.43332817573602861307004,1.0643748149999999,31.04688753429493927554291245,18536896.53953793,540705148.2121880250838748745,,0.051490803430735615,0.04850172903807835
2019-07-19,11017,230968,5455013756.602681178818274,0.04021791804211665,1.169847187103388632826666813,0.00013139,0.00382183438119674348822,6238.40235711,181460.8464277479476335161848,0,0,73.49738321,48.60913503920207,0.002761788013258318,29.087711250450898,,-17.465812590534917,187536713,173357,72645,2551610.74862487,74220516.67954706931212095663,34.93754432,1016.25320097999086885879936,0.537438,15.632841359019829719324,2538037.90724538,73825713.78865229255282612735,,0.050689656717466655,0.04657270451688111
2019-07-20,10798,234261,5854650590.50636525783113,0.027907603519825547,0.8712388353898692694501270491,0.00019997,0.0062428015285922061597,4255.2676619,132843.883903977112085559819,0,0,77.66765084,48.27344113059112,0.0028739483109292818,31.21869044652801,,-14.961574742744762,187536713,174874,70310,2414605.19242437,75380812.0528756069842210116,34.16487492,1066.5826542718284099265092,0.803520505,25.08485791303286209184505,2402132.35568934,74991426.42385462230717316841,,0.05152790795514079,0.047282138646116176
2019-07-21,9010,225495,5691103855.24629025492142,0.008639325555445006,0.2621742601157826178839863689,0.00025276,0.0076704096357498402184,1203.01744427,36507.5035468577085163808618,0,0,92.32277782,48.062941186435566,0.0028656707316266033,30.34661194710334,,-21.6453728885927,187536713,164152,64849,2031315.75364301,61643550.91784219220902193865,31.23995013,948.0266438419705395564342,0.87895472,26.6732978069148710207648,2025879.52580639,61478579.82122824397313816234,,0.05157534902166761,0.04740121216320506
2019-07-22,9633,231145,5745106783.669746527322015,0.039552133222583115,1.211662640614117016340004767,0.00017934,0.0054940039958113819677,6351.40020929,194572.421817979857884542835,0,0,66.72036128,47.73134855917894,0.0029688801960154844,30.634571182175655,,-18.92097419800335,187536713,194600,70901,2810786.83313295,86107249.31753344160582086833,38.88786196,1191.3129753362408841125838,1,30.634571182175655,2757188.30061637,84465281.25789411515039410847,,0.05163349657003195,0.04640508736543168
2019-07-23,8795,228994,5511337251.559965588672182,0.024910416097296672,0.7320684147262950300612360709,0.00017379,0.00510734823932104653906,4237.08740525,124519.7128664075556815710235,0,0,29.74761112,46.920925374637925,0.002978523366452367,29.388044417521414,,-20.85730821582341,187536713,207308,72257,6304261.28072749,185269910.5376799122843525735,87.08989764,2559.40178016171336776806296,1.1608152,34.1140886581340036966928,6292854.73406228,184934694.4376321900425971097,,0.0519659953096834,0.04644811030460384
2019-07-24,10120,226312,5436278339.263279520371996,0.03179258823507113,0.9215974622069533741116970517,0.00023959,0.00694518905908353603428,5275.53492138,152926.196488924823437780111,0,0,59.0099001,47.159312490257655,0.0029601181969608416,28.987808585848892,,-22.446030397423183,187536713,207410,67086,3178055.08393874,92124852.44850012852239782488,47.13712988,1366.40209824773835225809296,1.09087,31.62193075204498081604,3162241.49531453,91666451.168406171516680592,,0.05161879048451913,0.04618649080366326
