date,AdrActCnt,IssTotNtv,NVTAdj,NVTAdj90,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValMeanNtv,TxTfrValMedNtv,TxTfrValNtv
2017-11-02,71,0,196.60668383,,181043076.000076,68,68,920838.867086,13541.7480453824,14015.858275,920838.867086
2017-11-03,13,0,2250.78787456,,181043076.000076,10,10,80435.423545,8043.5423545,663.9781135,80435.423545
2017-11-04,11,0,14571.18794534,,181043076.000076,10,10,12424.73,1242.473,872.5,12424.73
2017-11-05,12,0,10853.90132238,,181043076.000076,9,9,16680.000179,1853.33335322222,1543,16680.000179
2017-11-06,26,0,5234.59029769,,181043076.000076,24,24,34585.911352,1441.07963966667,217.3913035,34585.911352
2017-11-07,25,0,2057.39319141,,181043076.000076,18,18,87996.342535,4888.68569638889,363.9384,87996.342535
2017-11-08,12,0,6048.30262591,,181043076.000076,9,9,29932.87327,3325.87480777778,83.000635,29932.87327
2017-11-09,9,0,25176.26718869,,181043076.000076,7,7,7191.021395,1027.28877071429,588,7191.021395
2017-11-10,19,0,2158.48770971,,181043076.000076,20,20,83874.962635,4193.74813175,1612.5,83874.962635
2017-11-11,4,0,3443.06180822,,181043076.000076,4,4,52582,13145.5,11488.5,52582
2017-11-12,9,0,70.69564556,,181043076.000076,10,10,2560880.158335,256088.0158335,3999.9975,2560880.158335
2017-11-13,11,0,9015.28336456,,181043076.000076,11,11,20081.7954,1825.61776363636,1948,20081.7954
2017-11-14,8,0,12.25482409,,181043076.000076,6,6,14773208.872575,2462201.4787625,9479.4387875,14773208.872575
2017-11-15,82,0,105.40805044,,181043076.000076,81,81,1717545.056994,21204.2599628889,8535.796959,1717545.056994
2017-11-16,5,0,137.53833606,,181043076.000076,5,5,1316309.918984,263261.9837968,991.738,1316309.918984
2017-11-17,9,0,23238.61487899,,181043076.000076,6,6,7790.613896,1298.43564933333,582.306948,7790.613896
2017-11-18,7,0,6226.35640739,,181043076.000076,4,4,29076.8893,7269.222325,2501.15,29076.8893
2017-11-19,11,0,6075.4317814,,181043076.000076,19,19,29799.2114,1568.37954736842,900,29799.2114
2017-11-20,16,0,2084.7225624,,181043076.000076,14,14,86842.767122,6203.05479442857,3938.4999995,86842.767122
2017-11-21,6,0,10975.15657017,55.622494829493434,181043076.000076,5,5,16495.716926,3299.1433852,136,16495.716926
2017-11-22,14,0,6341.4911684,55.61707451227477,181043076.000076,9,9,28548.9755,3172.10838888889,352.286,28548.9755
2017-11-23,14,0,2708.7780333,55.60438919636591,181043076.000076,14,14,66835.7,4773.97857142857,1612.5,66835.7
2017-11-24,0,0,,55.60438919636591,181043076.000076,0,0,0,,,0
2017-11-25,11,0,1700.42761219,55.58419345851421,181043076.000076,10,10,106469.146174,10646.9146174,2197.75,106469.146174
2017-11-26,11,0,1087.49030288,55.55264427373041,181043076.000076,10,10,166477.87619,16647.787619,1772.441095,166477.87619
