date,AdrActCnt,BlkCnt,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2014-09-09,1220,17583,461859529.4844975575796896456,0.000358115162291519,0.000001653989349945645844198036208,0.000015,6.92789439308592E-8,112.382984,0.51905162982124310532352,5856.75933043,818.952444994927,0.000009753892771384,0.00461859626205728,,,99999979058.305824,313818,1412,17074285.183413,78859.22972541128125751189664,12360.1729344285,57.08664851333303191195106448,100,0.461859626205728,17452564.183413,80606.34770082604707863189664,,,
2014-09-10,1471,17690,500093068.6854428837805298764,0.000909868706993741,0.000004550191303480130522652413821,0.000015,7.501397622269415E-8,280.854633,1.40453485079303278463313,1070.61512678,824.6208282156402,0.0000104677032142085,0.00500093174817961,,,99999978777.451191,308676,2151,93404227.416444,467108.1663010831501503795068,45182.9344288443,225.9567712611250136716011247,0.5,0.002500465874089805,97188491.956444,486033.0149826794578244089068,,,
2014-09-11,1386,18430,468348893.805585077560067814,0.00130470946895051,0.000006110593677524892369160503273,0.000012,5.620187932665348E-8,253.57159,1.1875999918206376918861,19.74926016,566.8273014616238,0.00000981351139244157,0.00468348994388779,,,99999978523.879601,194351,2362,5063479729.84094,23714756.39578970614902190812,2148168.80945002,10060.92701683257481849049326,1.0505,0.004920006186054123395,5073974727.920943,23763909.61375852186327718299,,,
2014-09-12,1281,18217,428372616.480134907087157272,0.000235668854323632,0.000001009541054878288202391753658,0.000012,5.140472504654028E-8,56.77192,0.2431954114970150877448,4022.97142193,566.6531756212067,0.00000904522893231405,0.00428372708721169,,,99999978467.107681,240897,5300,24857243.062172,106481.6454188310512367951907,4894.75284191924,20.96778533413584768355976392,0.5,0.002141863543605845,25942190.062172,111129.2622709201126672251907,,,
2014-09-13,1093,17864,435991099.8270469289047669694,0.000111283564660206,4.851865420887713167143877834E-7,0.000015,6.539867907317355E-8,25.825243,0.11259578526291478066151,486.9108259,559.9976734642248,0.00000912189943417057,0.00435991193821157,,,99999978441.282438,232067,2278,205376371.033841,895422.8918970122567134877404,90550.6595670944,394.7929016595065895775573622,0.5,0.002179955969105785,206274402.493841,899338.2299803558227094799404,,0.162358364268641,
2014-09-14,1255,16914,487950783.4489673888795030623,0.000922162929676894,0.000004499702225394904348926896448,0.000015,7.31926335453243E-8,339.632607,1.65724032961294297796334,1303.36783056,560.7186465394087,0.0000102589067924417,0.00487950890302162,,-12.855007420347796,99999978101.649831,368300,1269,76724295.135395,374376.8811912182721825122399,63438.8649630323,309.5505063847024219870676583,1000,4.87950890302162,80503919.638088,392819.5926021874286400394626,,0.163912752382671,
2014-09-15,1288,17245,490710256.6589492912082685431,0.000222051928612201,0.000001089631828217364492205431353,0.00001,4.907103644753E-8,73.134135,0.358876780414357943655,372.4671722,554.2832916325898,0.0000103819849715154,0.004907103644753,,-12.13677698444867,99999978028.515696,329356,19585,268479977.547083,1317459.076364494593963405499,13967.2573171148,68.5387792880170434061186444,0.000001,4.907103644753E-9,273548734.555693,1342331.992355812038365728829,,0.143482934169535,
2014-09-16,1528,17115,492513498.1315450217154149444,0.000297918906982415,0.000001467291154373331159915122316,0.00001,4.92513606885628E-8,109.952931,0.54153314634456580375668,1808.67906122,554.8534320072974,0.000010592878549831,0.00492513606885628,,-41.363564686873595,99999977918.562765,369070,1495,55288956.489247,272305.6338146158815234084212,40214.8030028408,198.0633767712410620572469202,1000,4.92513606885628,60121130.489247,296104.7482730054074761284212,,0.0937337402577807,
2014-09-17,1796,15573,542183363.8677433283813765143,0.00296328511290849,0.00001606644266093996783060206241,0.00001,5.42183490577814E-8,1288.892713,6.98816350114648624069382,592.68966321,554.3001802079158,0.0000118741007599066,0.00542183490577814,,15.678513324334457,99999976629.670052,434954,1914,168722322.720262,914784.5787086806505466546727,92544.1090354566,501.7588806925767494974731987,500,2.71091745288907,177129424.693864,960366.497645592265054203333,,0.0952400047618946,
2014-09-18,1457,14917,550239636.9316955187544572456,0.00131582361519612,0.000007240184829323487481115523326,0.00001,5.50239769655172E-8,750.695794,4.13062680771666450746568,2933.94350191,555.5810834374396,0.0000128899465680323,0.00550239769655172,,13.960081303148034,99999975878.974258,570514,1017,34083811.025633,187542.6832771471363606302388,37064.1912804277,203.9419207259777219878167706,163.627,0.90034082789366828844,37694282.532195,207408.9333783195033813826254,,0.0949811207184162,
2014-09-19,1469,15684,449709260.9404681304613301354,0.00222028632456391,0.000009984835735891614002248691905,0.00001,4.49709374211128E-8,1066.498994,4.79614595188537555605232,781.96141629,551.9256200920429,0.0000114170182584891,0.00449709374211128,,-10.71976977740283,99999974812.475264,480343,972,127883515.387353,575104.1567676567598372306418,138630.370768882,623.433772851305758195605189,100,0.449709374211128,134748720.387353,605977.6272114678298496306418,,0.0937234528430577,
2014-09-20,1189,15633,523968566.2664202374347259823,0.00014389369764296,7.539579349274448174155373024E-7,0.00001,5.23968698614044E-8,71.164211,0.37287819025565234779284,3046.79453436,551.5589498373215,0.0000127335737097074,0.00523968698614044,,-15.663991882906354,99999974741.311053,494561,960,32821371.317829,171973.7121613117144612699048,34898.4592242573,182.8570026336937699389524952,149.2545,0.78204686127289830198,33502520.855287,175542.7225283459772238985063,,0.098543026093595,
2014-09-21,1182,15653,490245336.2620327466002986398,0.00077464000323618,0.000003797637462463428724754824198,0.00001,4.90245461969199E-8,382.989764,1.87758993781654500279036,3688.24659575,552.2423122430299,0.0000122529865575687,0.00490245461969199,,-21.167358321202105,99999974358.321289,494410,788,27113147.606139,132920.9757361069603180131266,38308.3154973655,187.8047782826777490472664523,200,0.980490923938398,30186952.611924,147990.1652867499976148812888,,0.0985985567301638,
2014-09-22,1404,17265,489698977.9414334084909612123,0.00109829348659246,0.000005378333376462087187449857576,0.000015,7.3454865782034E-8,348.184296,1.7050553820061331825376,2384.19833973,554.3811250741996,0.0000122156231161181,0.0048969910521356,,-16.05578825694108,99999974010.136993,317023,1173,41942808.341,205393.5571473154095430396,36815.851117809,180.2868935006671002566429004,100,0.48969910521356,43184993.36119,211476.526076282719171657364,,0.0985426769823605,
2014-09-23,1289,17725,465529212.1839271564435828294,0.000116488752731888,5.422893140144633209773547526E-7,0.000015,6.98294000017242E-8,36.617424,0.17046484983524905083072,3085.43984963,554.8324750182317,0.0000106185122449151,0.00465529333344828,,-18.282256519594114,99999973973.519569,314343,1053,32410281.466202,150879.3672447925164069350326,31127.3356866078,144.9068783098720307673899446,50,0.232764666672414,32777084.477998,152586.9428602951860171309434,,0.0940493905856915,
2014-09-24,1486,17711,502942232.1182861372114353687,0.0000313092467941135,1.57467465685646867221668579E-7,0.000015,7.54413544604589E-8,10.586533,0.05324415923735635599958,166.83409815,536.1920973466226,0.0000118811127995324,0.00502942363069726,,4.221073688343333,99999973962.933036,338128,1641,599397695.519447,3014624.934030987903510499615,365513.659061211,1838.323034225076273732949982,1000,5.02942363069726,599807914.519447,3016688.099163348902810439615,,0.0888373718729493,
2014-09-25,1635,17425,498266394.7780684801702563681,0.0000345205035099412,1.720041131104856337616994727E-7,0.00003,1.494799573774629E-7,15.952477,0.07948585273416524102011,174.88756872,520.6202764052387,0.0000121680178554647,0.00498266524591543,,-13.673895147481316,99999973946.980559,462116,1816,571795781.013197,2849066.96581552659005117593,320436.423959236,1596.627433187107629537823411,1000,4.98266524591543,581912545.909973,2899475.418667789567890751583,,0.0763923389396203,
2014-09-26,51124,15531,534125797.8063972127564890801,0.00254817501913865,0.00001361046385497634588210705524,0.000012,6.409511318218812E-8,1165.000137,6.22256796985663881331437,556.17478682,517.5750909409282,0.000013169067579303,0.00534125943184901,,17.74117052684458,99999972781.980422,457190,2521,179799543.508749,960356.0076082520376961819885,74713.3329660044,399.0632943895465707089637956,10.372927,0.05540449417463125575227,188352312.407297,1006038.565156046411224926226,,0.0772629000529027,
2014-09-27,71482,11802,455079921.2473800574314846514,0.0223155778009414,0.0001015537497415321094138812786,0.00001,4.55080081938313E-8,8092.454187,36.82714714502004112566531,3326.94970927,520.207414242725,0.0000113715591648143,0.00455080081938313,,1.986853343334535,99999964689.526235,362637,642,30057552.24096,136785.9333668120033363190048,49165.6343317134,223.7430090022526878747839549,1000,4.55080081938313,31564337.24096,143643.0117794462128733690048,,0.0792599154417524,
2014-09-28,68819,11212,532695471.4845075472396313609,0.00751089878259099,0.00004001023275488357563319821399,0.00001,5.32695672156049E-8,2360.480204,12.57417588880827663353996,2100.69489408,523.5698097966098,0.00001418,0.00532695672156049,,4.559187355312779,99999962329.046031,314274,649,47603277.663514,253580.5999179662398752169619,78024.20133053,415.6315437220557105958787597,53.525,0.28512535852152522725,50637706.663514,269744.8718756143159854269619,,0.0845982714218037,
2014-09-29,49093,14479,490452407.1588788180275837817,0.00920927225408502,0.00004516711570632040646421183528,0.000016,7.847241686014496E-8,2744.169737,13.45885197105364754156722,1639.60027968,524.4088337509712,0.0000131389667140654,0.00490452605375906,,-6.307944529982534,99999959584.876294,297979,1021,60990450.431114,299129.2531698991061172833928,60879.0493938433,298.5828838801891738823855953,1000,4.90452605375906,62157509.431114,304853.1244416731009218233928,,0.083975082028038,
2014-09-30,33178,16680,470902336.9499063051849749788,0.00306396874247708,0.00001442830637150388350113802231,0.000058,2.7312346824748498E-7,890.934703,4.19543407009315450264243,2372.41717581,526.1740210759347,0.0000121021037407197,0.00470902531461181,,-0.7119590339562095,99999958693.941591,290778,1189,42151085.278577,198490.5276151802903824641944,36366.4392644298,171.2504830984928191823279959,200,0.941805062922362,43239696.285407,203616.8244041078103771728567,,0.0833256262220281,
2014-10-01,1477,17529,501358507.6834745836857281783,0.000719896441522679,0.000003609263553628368766607966436,0.000058,2.9078805510924394E-7,185.614499,0.93059446834977076192907,3057.14495225,527.4681506509789,0.0000131100555130403,0.00501358715705593,,13.13502575376449,99999958508.327092,257835,1513,32710244.385005,163995.6611528219153492383296,22010.9414309352,110.3537732728469931734586057,100,0.501358715705593,33302554.385005,166965.2589618177132475383296,,0.084068059894629,
