date,AdrActCnt,IssTotNtv,NVTAdj,NVTAdj90,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValMeanNtv,TxTfrValMedNtv,TxTfrValNtv
2018-06-24,78,0,1390.45627519,434.3989527884341,39609523.80952380954,73,73,28486.7093747,555.91307173411,128,40581.654236589999999488
2018-06-25,52,0,327.10595521,429.37213089495316,39609523.80952380954,52,52,121090.80614144,4402.15864060212,99.581134425,228912.249311310381894534
2018-06-26,65,0,3331.46054011,459.0552303296815,39609523.80952380954,56,56,11889.5371362302,268.032764195473,56.900334925,15009.834794946477650984
2018-06-27,60,0,320.30919772,453.70474868692594,39609523.80952380954,61,61,123660.276043815,2286.78465475186,100,139493.86393986326977162
2018-06-28,56,0,1681.71352908,484.8898426984947,39609523.80952380954,44,45,23553.0743641505,852.649415585122,77.55755475,38369.223701330480529563
2018-06-29,49,0,570.58717054,486.41696091763833,39609523.80952380954,44,44,69418.8826086,1755.68933892601,99.35,77250.33091274442924264
2018-06-30,32,0,14862.58373664,497.82460063469,39609523.80952380954,26,26,2665.04966507853,106.617294810713,50.67257531,2772.049665078527669177
2018-07-01,44,0,12813.23184395,502.0381127977088,39609523.80952380954,44,44,3091.29845552861,83.1455156397829,45,3658.4026881504480077
2018-07-02,54,0,1909.2697318,502.46127300368295,39609523.80952380954,49,49,20745.9025561992,426.191278792229,85,20883.372660819198693647
2018-07-03,38,0,3858.49704192,502.9205406164597,39609523.80952380954,35,35,10265.53172886,330.336956893714,100,11561.79349128
2018-07-04,29,0,19767.8955073,505.9096620785236,39609523.80952380954,22,22,2003.72992638,98.2858125522727,55.82390992,2162.28787615
2018-07-05,51,0,887.75780235,512.1641624391393,39609523.80952380954,44,44,44617.4888066058,1032.03338882422,34.2019526051449,45409.46910826575982327
2018-07-06,44,0,1899.30303008,513.4437181002492,39609523.80952380954,37,37,20854.7678712749,781.966933615478,127.46586323,28932.776543772673086296
