date,AdrActCnt,BlkCnt,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2018-12-13,132857,16388,10898240923.42270294537939124,0.000031405262482206,0.000003273891753161287895041442196,0.00001,0.00000104246597366166,8.3172755,0.867047670231977000733,,,,,,1333.99279806,1480.5433424794255,0.0000317262542372881,0.104246597366166,-29.051110411958113,-59.15120885595715,104542893473.4689691,264837,6779,78368409.204078,8169640.000524456947186424948,11565.3461777088,1205.647986387936205460520461,72.0255431,7.5084177916251357147546,78401481.738688,8173087.699723824207064430208,0.0565977945669285,0.0685766278603289,0.0553331351444772
2018-12-14,80724,16375,10008645286.68767916417173675,0.0000366264394823872,0.000003506513247469829978605435615,0.00001,9.57372132542676E-7,7.4977618,0.71781482037630129825768,,,,,,642.13725496,1447.2916200207494,0.0000298414564430169,0.0957372132542676,-47.37829832600642,-58.39483515770348,104542893473.4689691,204709,9070,162804591.488824,15586457.8941394631543557053,17952.473285336,1718.719763359754704894499914,3,0.2872116397628028,162828932.6979974,15588788.2536729636849275237,0.0568928861363863,0.0683025181647749,0.055963625159784
2018-12-15,52150,16362,9856826278.438762132009108749,0.00004122476710261,0.000003886876995638607331706264556,0.00001,9.42849958609596E-7,7.3192925,0.690099463067652643083,,,,,,2753.80523487,1443.531328569791,0.0000294175137346581,0.0942849958609596,-52.026898097113246,-60.44044009893298,104542893473.4689691,177546,9242,37963067.3039934,3579347.643626348439852236067,4123.22148994086,388.7579211128936600865868493,161,15.1798843336144956,38106813.0100334,3592900.706925360555226152051,0.0568937309483875,0.0681994032906426,0.0553412298940441
2018-12-16,43540,16314,10031525975.78810882871037379,0.0000424068771634333,0.000004069197586586760297852712289,0.00001,9.59560773811366E-7,6.848329,0.6571387874554818307414,,,,,,3471.37432315,1443.1993836327101,0.0000297237737897489,0.0959560773811366,-59.23945575240439,-59.500712458623795,104542893473.4689691,161491,5699,30115707.4234918,2889785.15191624910365302478,5286.32203928642,507.254726663375551133032545,80.8843854,7.76134834436807544444564,30126749.3018933,2890844.687254576538560085925,0.0569158410906006,0.0679201550821607,0.0553951030830325
2018-12-17,58485,16336,11399075661.41918279221173466,0.0000392607886192399,0.000004280890695944600296925493754,0.00001,0.00000109037307871262,7.5452954,0.8227186975094169607948,,,,,,775.82721284,1421.5899984224109,0.0000309714281593451,0.109037307871262,-58.47184738670943,-55.221255564031544,104542893473.4689691,192184,9405,134750227.554967,14692802.04763354891386465835,14339.584725853,1563.549714498879665287136486,1,0.109037307871262,134863794.3466473,14705185.06486194526086971989,0.05776413181507,0.0736255065238343,0.0583310960507901
2018-12-18,85863,16322,11953256966.04567731350441814,0.0000451763374288721,0.000005164400769855209917919299662,0.00001,0.00000114316499826625,8.0266154,0.917574577982485555025,19938686.5520815,6.96004541231568,2279320.857774155013782869938,19938686.5520815,2279320.857774155013782869938,1886.66666824,1416.2152780430192,0.0000309519924032971,0.114316499826625,-58.41004313200918,-53.906958870306845,104562831998.6551225,177673,51516,55421995.7127852,6335648.56329182080909586595,1083.23489157595,123.8316212950362388480196688,0.0102377,0.0011703380302750387625,55803928.6744268,6379309.80263510514827125355,0.0571961724099039,0.0733749473273843,0.0588310028152455
2018-12-19,1274994,16287,12020876410.81922581045914658,0.0000864947329008591,0.000009943710155071352826777508091,0.00001,0.00000114963187023988,20.559971,2.363639791280769584348,,,,,,990.8810734,1403.2768379264262,0.0000305897279456569,0.114963187023988,-55.69755133777568,-48.491573658389264,104562831998.6551225,237702,8707,105525107.710104,12131502.69340316422519797475,12134.3509555741,1395.003658320372761379011511,100,11.4963187023988,105653793.7701836,12146296.8529954754360923642,0.0571931591086853,0.0683729254326747,0.0588688593813141
2018-12-20,104735,16278,13066974319.64278803605084112,0.0000337718126008077,0.00000422038500246644842676182586,0.00001,0.00000124967677996813,8.1031074,1.0126265163367925967162,,,,,,384.30544967,1370.0217357949887,0.0000305678503890905,0.124967677996813,-50.04298657243829,-34.0704152869386,104562831998.6551225,239937,7535,272082615.76289,34001532.71518743457298366957,36143.6757820372,4516.791236750833098904247444,182.5735,22.8157863587511382555,272342597.0176504,34034021.96891753964707594818,0.0574719629127755,0.0693708172284311,0.0601588038020217
2018-12-21,78663,16297,12443344089.1124444389505339,0.0000352302730931857,0.000004192526178494743798561072077,0.00001,0.00000119003510628638,7.9737734,0.9489070275572509626292,,,,,,677.07443503,1347.0634949749028,0.0000307900063901206,0.119003510628638,-52.8602807831638,-40.9889056306452,104562831998.6551225,226333,6655,154433289.147333,18378103.56646016816183112245,23215.1087610689,2762.679442192849993179831158,207.3333225,24.673393247799580189755,154496548.8049133,18385631.68779338939330608709,0.0575469600003621,0.0684817415074144,0.0603550562823555
2018-12-22,38742,16304,12682235742.47617450081300073,0.00004860675911949,0.00000589542542075614833263834991,0.00001,0.00000121288181470059,8.9517124,1.0857369180389773790316,,,,,,3649.21987223,1369.1938216338513,0.0000303947272876295,0.121288181470059,-43.70924099365433,-34.64167374571677,104562831998.6551225,184166,4925,28653475.4439835,3475327.929397750122736940026,5819.07262725817,705.784736802341916785118132,158.0609677,19.1709273337307341160943,28658932.6892465,3475989.828751535486591020544,0.0573418466103974,0.0686930099286024,0.06048923830042
2018-12-23,22462,16306,13149778353.89922522824830946,0.0000508882491062052,0.00000639968508669711171206518484,0.00001,0.00000125759584955277,8.62566,1.08475942156533460782,,,,,,2089.07233992,1374.173982198683,0.0000316484782445098,0.125759584955277,-45.33154714109905,-30.029230046337652,104562831998.6551225,169502,6326,50052279.1867003,6294553.856585079165308702483,7918.37566250874,995.811636837065686518521621,132.82166665,16.70359767097215685241205,50091644.4410303,6299504.414631278886089301893,0.0573390183014779,0.060515480458942,0.0608060170328881
2018-12-24,54395,16282,13923620534.18694335379480573,0.0000538623990619677,0.00000717233448315010189239798843,0.0000101,0.0000013449192672698161,9.7385372,1.2967867638914699531692,,,,,,795.49094439,1364.907519830189,0.0000328003030655487,0.133160323492061,-38.29703524679269,-10.612278309037194,104562831998.6551225,180804,8544,131444402.650478,17503179.17815837079699085516,15658.2924623285,2085.063289616963439411324038,100,13.3160323492061,133784450.7981344,17814780.746487295145592011,0.0572330306534416,0.0606789856496193,0.0614431656219514
2018-12-25,68997,16258,12557403711.11808082238083721,0.0000548852177635476,0.000006590146815933297009307377949,0.0000101,0.0000012127214859140617,9.3595213,1.1238111463742881634321,19941888.0954149,6.95983559596537,2394451.105247870827012990663,19941888.0954149,2394451.105247870827012990663,2781.86924696,1364.8198053345805,0.0000316456459064717,0.120071434248917,-46.113745450460726,-23.529258380946462,104582774326.536738,170529,56115,37594424.8425728,4514016.510610831793933893658,671.175285964596,80.58897921819605360711334253,0.0091,0.0010926500516651447,37663001.1719033,4522250.568829071003038853726,0.0575583868062215,0.0608226033407288,0.0626374982080085
2018-12-26,1275854,16136,12579020160.90858412229323711,0.000104059064587758,0.00001251602933469476525266832664,0.00001,0.0000012027812650708,21.5101533,2.587200939804084335364,,,,,,969.55381451,1353.5034934318862,0.0000313438045671644,0.12027812650708,-45.66296690824939,-15.262106442471854,104582774326.536738,206711,7223,107866910.285288,12974029.88122171887775183904,14943.7186760966,1797.402485409760909246663928,42.66,5.1310648767920328,107938479.9974456,12982638.15211468599205031485,0.0575189271626814,0.0606864689201804,0.0625610751181725
2018-12-27,131164,16276,11426600973.90881967863143169,0.0000374900495707895,0.000004096122326989899931098916676,0.00001,0.00000109258920003707,9.9225664,1.0841288885290709536448,,,,,,2666.71436766,1365.3073283263823,0.0000300661489526532,0.109258920003707,-51.4747955383814,-24.31099538552531,104582774326.536738,264672,10342,39217838.8487861,4284898.717497793125624450073,3796.20228239664,414.7689614902644198896443445,9.945,1.086579959436866115,39260324.004546,4289540.599732309071404852022,0.0578792470135138,0.059155535663813,0.0633350325477285
