date,BlkCnt,CapMrktCurUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2019-03-12,1439,13783083.64245115137033,3811223947.96873,0.00756738683127572,0.02152374701299173058926504418,0.008,0.0227542188529703896,29.422,83.6843283865118503514,86340,650.325017024701,245574.906970682929758,86340,245574.906970682929758,0.000731086011396844,2.8442773566212987,,-52.0140464784894,4845900,3888,8037,,0.04025367616659255,
2019-03-13,1453,13332512.74446919124388,3699837726.0468,0.00781708834508503,0.02112705044018903841875108774,0.008,0.021621401225148088,18.847,50.937318611295751817,87180,645.04731324041,235619.21985105128898,87180,235619.21985105128898,0.0006981661249283255,2.702675153143511,,-48.11048054318173,4933080,2411,5092,,0.04036937859897028,
2019-03-14,1426,13271740.771881034838472,3850955439.3899,0.00784354628422425,0.02074217577201691501392128503,0.008,0.0211559159802353384,18.048,47.7277464514109234304,85560,622.268184209268,226262.521408616944188,85560,226262.521408616944188,0.0006852353191714379,2.6444894975294173,,-46.818132246062675,5018640,2301,4881,,0.04014884189392541,
2019-03-15,1433,13670642.703738564560052,4047697447.88555,0.00759905882352941,0.02035097971272347188609622213,0.008,0.0214247371263499568,16.148,43.2458318895373878008,85980,614.790131292829,230262.362265446160708,85980,230262.362265446160708,0.0006830274015195793,2.6780921407937446,,-46.190091819178754,5104620,2125,4312,,0.03926983498566558,
2019-03-16,1445,13855247.10591494038356,3978899020.06713,0.0077546749777382,0.02069665095633060576046668731,0.008,0.021351405200858264,17.417,46.484678047918548011,86700,609.584845472828,231395.8538643014361,86700,231395.8538643014361,0.0006672034436002336,2.668925650107283,,-48.17159768910645,5191320,2246,4683,,0.03927078268525852,
2019-03-17,1432,14072096.895874570765692,4125914712.93994,0.00760932077342588,0.02029073895358941680800071885,0.008,0.0213325100179253864,15.348,40.9264204693898538084,85920,594.265184073493,229111.157592518649936,85920,229111.157592518649936,0.0006687968784789572,2.6665637522406733,,-48.036778752186635,5277240,2017,4125,,0.039256129541092574,
2019-03-18,1430,13946241.242368651586928,4005633564.5035,0.00781297709923664,0.02031714539646465845710130625,0.008,0.0208034864440595656,16.376,42.5847367509899307832,85800,583.941197529759,223117.39211253884106,85800,223117.39211253884106,0.000654528366452367,2.6004358055074457,,-49.31759159018485,5363040,2096,4469,,0.03917891260676447,
2019-03-19,1425,13743483.269307086009262,3934466519.34947,0.00794354148845167,0.02003691439276984913668707228,0.008,0.0201793262331664424,18.572,46.8463058502958960316,85500,572.768117697585,215666.54911696635315,85500,215666.54911696635315,0.0006283817434248976,2.5224157791458053,,-49.05190491510186,5448540,2338,5061,,0.03899325684938923,
2019-03-20,1432,13592823.87036579877476,3647553789.52654,0.00776560332871012,0.01907258852612233598751797636,0.008,0.019648274802406448,16.797,41.254008982002638382,85920,566.646068451123,211022.47137784525152,85920,211022.47137784525152,0.0006093387258912915,2.456034350300806,,-50.33750903717701,5534460,2163,4617,,0.03878137715672845,
2019-03-21,1425,13084743.3865191952056,3345682371.13684,0.00762209889001009,0.01774624873530324482755518909,0.008,0.01862610180359888,15.107,35.17306499337103502,85500,555.297546601755,199066.46302596303,85500,199066.46302596303,0.000585538826858851,2.32826272544986,,-52.829278532047255,5619960,1982,4088,,0.0391336564981328,
2019-03-22,1430,13967404.27990941217968,3085621621.00769,0.00773795039775386,0.01894210087758931369182089692,0.008,0.019583584700245944,16.536,40.479269575408366248,85800,548.866408681753,210033.9459101377494,85800,210033.9459101377494,0.0006144621297486851,2.447948087530743,,-49.546845820732614,5705760,2137,4527,,0.04132022694021779,
2019-03-23,1430,14287490.783403873216768,2995724206.45734,0.00742757660167131,0.01832346245906199767859496436,0.008,0.0197356025435687424,26.665,65.781230228032564512,85800,540.735138719102,211664.33727977476224,85800,211664.33727977476224,0.0006195602910578608,2.4669503179460928,,-46.73952403456456,5791560,3590,7383,,0.04164615534041524,
2019-03-24,1435,15735320.6543195014809,2740412953.60279,0.00778696629213483,0.02084680153855768035473883828,0.008,0.02141712267034092,17.326,46.38413342329084749,86100,534.677065362746,230501.7827395441515,86100,230501.7827395441515,0.0006742293780543063,2.677140333792615,,-41.54334775281136,5877660,2225,4749,,0.04516250050874906,
2019-03-25,1440,14976984.422732384469768,3076829773.28125,0.0078130081300813,0.01962007442227427381853154832,0.008,0.0200896495645347424,18.259,45.8521139248549826852,86400,528.767316224183,216968.21529697521792,86400,216968.21529697521792,0.0006425416406761985,2.5112061955668428,,-41.84753942361615,5964060,2337,4967,,0.04495315640145622,
2019-03-26,1455,14687660.692931178836688,3376574855.92509,0.00782424242424242,0.01899074223092163564414042358,0.008,0.0194173352012521864,18.074,43.8686145534290021242,87300,526.56758150234,211891.67038366448409,87300,211891.67038366448409,0.0006195287083576856,2.4271669001565233,,-39.76371890334911,6051360,2310,4929,,0.044038429695769044,
2019-03-27,1422,15466105.69639841210076,3404263788.60549,0.0076908856405847,0.01938312739399736980667420635,0.008,0.020162179805886456,17.889,45.085154318437851423,85320,507.46983711062,215029.64762977905324,85320,215029.64762977905324,0.0006258424436026228,2.520272475735807,,-33.12767328523323,6136680,2326,4821,,0.04497079620307733,
2019-03-28,1436,15927946.171213441251744,3203781276.62953,0.00771261974177426,0.01974117799686614544569171698,0.008,0.0204767548851822528,18.518,47.3985683704756196688,86160,505.370538210849,220534.650113412862656,86160,220534.650113412862656,0.0006381536448500896,2.5595943606477816,,-32.46162526320343,6222840,2401,5008,,0.044904570048008796,
2019-03-29,1415,19257983.67159798578046,3222320751.31449,0.00831351582549187,0.02538176145828678453020068789,0.008,0.024424575104995432,19.437,59.342558289474526473,84900,491.277383024665,259205.8033017640221,84900,259205.8033017640221,0.0007465707236810476,3.053071888124429,,-15.788187132568442,6307740,2338,5405,,0.05525321699404022,0.07137176788802824
2019-03-30,1447,20902771.62624552885312,2536801221.80995,0.0082127417519909,0.02684611064204532893483530769,0.008,0.026150692621535216,21.657,70.793193763073521614,86820,495.566544062453,283800.39167521093164,86820,283800.39167521093164,0.0007988571902486151,3.268836577691902,,-2.620195045808675,6394560,2637,5973,,0.05674317685642119,0.0690624863487503
2019-03-31,1435,22690578.358188633546222,2705110479.01603,0.00810829163688349,0.02838936570314603891683515843,0.008,0.0280102068100330936,22.687,79.4334452374025993129,86100,484.927461091926,301459.85079298116987,86100,301459.85079298116987,0.0008551548779772833,3.5012758512541367,,6.119713409092016,6480660,2798,6302,,0.057073626456605,0.06716904722631492
2019-04-01,1455,21718635.341804247453264,3295802890.24192,0.00826390820584145,0.02732672075055485199989645303,0.008,0.0264540409403275872,23.767,78.5916488785957206228,87300,485.150640381488,288679.72176132479532,87300,288679.72176132479532,0.0007990384903565164,3.3067551175409484,,-5.666271249299474,6567960,2876,6610,,0.05691285114030704,0.06637205006706118
2019-04-02,1428,23908671.96411535430778,3531074283.82563,0.00769535398230088,0.02765188588660950909581502822,0.008,0.028746577168726116,34.783,124.9865242074750616035,85680,470.016412069183,307875.84147705670236,85680,307875.84147705670236,0.0007327748199883111,3.5933221460907645,,-3.228285907402278,6653640,4520,9698,,0.05470869378382796,0.06745982829125619
2019-04-03,1440,23198221.898365311436176,3722601456.84931,0.00808134847929645,0.02781480751757201960861843843,0.008,0.0275348180703560352,22.054,75.9066097154540000376,86400,467.890398276568,297376.03515984518016,86400,297376.03515984518016,0.0006938899853886617,3.4418522587945044,,4.338401054460533,6740040,2729,6059,,0.05536240336169093,0.06726161910915994
2019-04-04,1433,22173997.89465827510145,3716761150.19749,0.00810821806346623,0.02633915667822982945089914402,0.008,0.02598761550028658,19.93,64.741647115088942425,85980,459.751070169733,279301.89758933001855,85980,279301.89758933001855,0.0006614281304714768,3.2484519375358225,,-2.2112517257756528,6826020,2458,5460,,0.056261478711167254,0.06706026548850116
