date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-06-16,15259,5749,5489237,954.815967994434,252924581.3483146007521403813,72768176.9612749,0.0417042621417169,0.001218324347892164357152848645,0.000226,0.00000660223412388836881,470.25725991,13.73782534683205217393852835,5066183.60232874,21.35834,148000.576359196942432023522,5066183.60232874,148000.576359196942432023522,147.9590793,62.65517843096071,0.000011837085914669788,0.029213425326939685,7932.838135357555,295.00535264729393,8657820112.42193,11276,23484,58514963.41485165,1709422.514228376270039372773,3376.94533494404,98.65214037554503580582393023,133.650937665,3.904401687351948085149735525,79304184.24582578,2316746.864579298003608743078,0.1472985635619938,0.22475635951962591,0.23012711273380437
2017-06-17,15209,5802,5660178,975.556359875905,260314852.7521812507016288682,70125519.3404754,0.0450055561401172,0.001352384315808293663518047924,0.000226,0.00000679113606375887008,506.85257325,15.23055216463300605115236,5112888.72164052,21.5423,153638.5972899067352535185803,5112888.72164052,153638.5972899067352535185803,143.88319366,62.852114674796574,0.000011356526884862655,0.03004927461840208,9134.27124051308,388.71319924499113,8662933001.14357052,11262,23294,60208095.05859888,1809209.582666695018288389278,3062.0171505707,92.01139424375599558039406706,132.91301383,3.9939396529371436315407664,71326627.50539394,2143313.417514053789720383715,0.1471726981168495,0.2248063967545762,0.22996281535936575
2017-06-18,14444,5770,5403331,936.452512998267,242314207.6102001559569938764,70017530.4073474,0.0393672293660665,0.001100509866292675622414867233,0.000226,0.000006317824083310535798,424.14252919,11.85689329943727398910511037,5084689.4043202,21.4109,142142.359180389654358979283,5084689.4043202,142142.359180389654358979283,118.08837403,62.69838062644123,0.00001115444564582116,0.027954973819958123,8058.834484025409,331.11086559207894,8668017690.54789072,10774,22293,73402803.2983356,2051973.4445165074583802676,3899.74332744392,109.017222623251161566851031,126.70901275,3.54214713417899001167306825,86936977.99870729,2430320.943940137625965495935,0.14735863151470877,0.19191494184595997,0.2300569087405248
2017-06-19,14851,5815,5349269,919.908684436801,251996650.8956505968482361582,68828675.6772899,0.0541758348285554,0.001574069567960289480677291049,0.000226,0.000006566391149943470678,578.27286096,16.80161856840812004972978288,5124344.6943019,21.565295,148886.9542032025480394770634,5124344.6943019,148886.9542032025480394770634,87.38950411,63.16363682057747,0.000011230489479836355,0.029054828097095003,7757.093605804272,129.353657517548,8673142035.24219262,10674,22146,99246953.32563546,2883603.168036749511894314966,5126.73384684315,148.9563706195863044676371898,130.119579455,3.780602013131319697541963365,113536647.77218838,3298787.783741357720549214073,0.14711957199460632,0.18291691233135182,0.23002432621454474
2017-06-20,15875,5798,5679699,979.596240082787,263618083.4748765609843717441,71675769.5921079,0.0516943605837894,0.001570312685923210990959151043,0.000226,0.00000686517181005492963,595.05378468,18.0758693276620882965600534,5109363.80697548,21.489375,155206.4618361194784100502413,5109363.80697548,155206.4618361194784100502413,79.04805957,62.797959918504446,0.000011128935710111049,0.030376866416172255,8432.008931773518,72.38907324852882,8678251399.0491681,11511,23818,109784496.24051727,3334908.976864958245930914622,5581.38689132539,169.5450440147663030180674951,126.34661935,3.83801437812991458651613425,132937472.97758821,4038223.858343705961434309817,0.14708837488464874,0.17747344743531096,0.22977386726906826
2017-06-21,15514,5762,5586248,969.498090940646,248083093.0195587830754391884,73039683.1291316,0.0448971471983961,0.001282713472585087421407704653,0.000226,0.00000645682995231790288,515.06007266,14.7152889574961212070425808,5077639.57499012,21.34374,145068.3862604909432060423678,5077639.57499012,145068.3862604909432060423678,99.23112281,62.44741202077725,0.000010846052600818235,0.02857004403680488,7946.5557775734505,100.78024291972542,8683329038.62415822,11472,23809,87506104.86718907,2500053.269544857575123389659,4334.72691277574,123.8433387855261577900415776,121.003749525,3.457082452547757580817682,103205513.0662777,2948586.053144595328961582795,0.14719274103388136,0.17646607636084838,0.22998663330133462
2017-06-22,14152,5788,5448754,941.38804422944,242633607.5286773402998556658,71435055.3097659,0.0559251189955599,0.001561768238158402146039953948,0.000226,0.00000631128959871898783,566.80108102,15.8285210937354172975408141,5100551.52031288,21.427325,142438.3086631902642425451262,5100551.52031288,142438.3086631902642425451262,170.78415976,62.40798255168111,0.00001042425511396844,0.027926060171322955,8235.917922726127,68.43687689895263,8688429590.1444711,10135,21219,50873743.80918544,1420703.230755781269869005724,3140.47615153678,87.70112597442086487510894078,124.95168,3.4894081341878910498144,66637763.45945886,1860930.192051234242357114596,0.14722220172571732,0.17447698282208574,0.23015047181961654
2017-06-23,13645,5762,5205647,903.444463727872,246960770.7607960659498996879,76127621.1144685,0.0541029600328846,0.001536929613917499858712321513,0.000226,0.00000642009406757472683,526.47590408,14.9558620730311899149702764,5077639.57499012,21.318555,144243.0252773306490815692874,5077639.57499012,144243.0252773306490815692874,157.29107186,62.287882534758964,0.000010585858270017534,0.028407495874224455,8287.744333678644,94.31521398132155,8693507229.71946122,9731,20256,55270188.74474162,1570087.65873385447956077686,5539.26416870314,157.3566240186738050198306233,127.62837068,3.6256024135260894002609794,112203335.00125072,3187415.77612225421279723501,0.14713449632128148,0.17398340867430664,0.22999292785111175
2017-06-24,13448,5775,5265816,911.82961038961,226073595.0023162321281656775,73566349.5972154,0.0489584508648203,0.001272413683642723299590959022,0.000226,0.000005873664044176062864,475.53343325,12.358954109221782483122778,5089095.5476515,21.354325,132263.8829009606412829874848,5089095.5476515,132263.8829009606412829874848,146.71913786,62.142076293931,0.000010239289304500293,0.025989663912283464,7448.52706460438,62.38464915779862,8698596325.26711272,9713,20102,59287400.75775724,1540859.619926970638253119778,4771.50040572098,124.0096919020124608382810519,117.386182045,3.05082741929567361674720388,95916701.15580304,2492842.826614251889844321033,0.1473915603302942,0.1720450114598427,0.23052844255401908
2017-06-25,13770,5789,5732653,990.266539989635,194946941.3140638572303364227,68872680.7748131,0.0465012372208109,0.001041542826457603200777448286,0.000226,0.0000050619874404991919,457.61867549,10.2498229551692716004129935,5101432.74897914,21.39338,114262.7809906357230472863715,5101432.74897914,114262.7809906357230472863715,118.83775308,61.971945937408684,0.000008988655172413796,0.02239817451548315,6613.95998611345,63.36375594811388,8703697758.01609186,9841,20395,73240174.37624833,1640446.207223627356567194331,4393.69439377758,98.41073379953018038072733778,116.78354399,2.6157381988246233841287685,89609397.16109375,2007086.915841418161014163695,0.1479296020035854,0.17113326327199688,0.23183717155164013
